"statement_id","manuscript_section","draft_sentence","quantity","value","unit","source_file","source_column","source_key","figure_panel","claim_type","verified"
"S2-21","Results 2 (Figure 2)","normalised enrichment score 1.95-3.69 for positive-direction pairings","expected-pairing NES range","1.9524 to 3.6897 (one negative: -1.9183)","NES","results/source_data/manuscript_candidates/final_truth_v9/extended_data/v9_ed_external_full_source_data.csv","NES","pairing_class == expected","F2g","EXTERNAL_VALIDATION","VERIFIED_FROM_SOURCE"
"S3-01","Results 3 (Figure 3)","37 proteins reached FDR support for the SUS-RES contrast","FDR-supported SUS-RES proteins","37","proteins","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_dap_track_source_data.csv","canonical count","sum across 18 spatial units","F3a","DIRECT_INFERENCE","VERIFIED_FROM_SOURCE"
"S3-02","Results 3 (Figure 3)","12 of the 18 units contained none at all","spatial units with zero supported proteins","12 of 18","units","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_dap_track_source_data.csv","canonical count","count == 0","F3a","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S3-03","Results 3 (Figure 3)","Twenty-eight of the 37 were in CA2 stratum lacunosum-moleculare","CA2-SLM share","28 of 37","proteins","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_dap_track_source_data.csv","canonical count","spatial_unit == CA2_slm","F3a","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S3-04","Results 3 (Figure 3)","highest pre-imputation missingness of the ten neuropil units (6.2-24.8%)","CA2-SLM missingness range","0.0617 to 0.2483","fraction","results/source_data/manuscript_candidates/final_truth_v9/extended_data/v9_ed_ca2_missing_source_data.csv","missing_fraction","18 CA2-SLM acquisitions","ED3b","LIMITATION","VERIFIED_FROM_SOURCE"
"S3-05","Results 3 (Figure 3)","systematic normalisation displacement (-0.146 SUS relative to RES)","global normalisation displacement","-0.14562","log2","results/tables/11_spatial_systems/ca2_slm_robustness","displacement","SUS minus RES","ED3c","LIMITATION","VERIFIED_FROM_SOURCE"
"S3-06","Results 3 (Figure 3)","displacement tracked missingness almost exactly (Pearson r = 0.93)","missingness vs displacement","0.931","Pearson r","results/source_data/manuscript_candidates/final_truth_v9/extended_data/v9_ed_ca2_displacement_source_data.csv","missing_fraction vs displacement","across acquisitions","ED3c","LIMITATION","VERIFIED_FROM_SOURCE"
"S3-07","Results 3 (Figure 3)","6 of the 28 CA2-SLM proteins qualified","CA2-SLM qualified","6 of 28","proteins","results/tables/11_spatial_systems/ca2_slm_robustness","robustness class","qualified","F3a/ED3","DIRECT_INFERENCE","VERIFIED_FROM_SOURCE"
"S3-08","Results 3 (Figure 3)","the 9 FDR-supported proteins outside CA2-SLM enter unchanged","supported proteins outside CA2-SLM","9","proteins","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_dap_track_source_data.csv","canonical count","spatial_unit != CA2_slm","F3a","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S3-09","Results 3 (Figure 3)","giving 15 robustness-qualified proteins in total","robustness-qualified total","15","proteins","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_dap_track_source_data.csv","robustness-qualified count","sum across 18 units","F3a","DIRECT_INFERENCE","VERIFIED_FROM_SOURCE"
"S3-10","Results 3 (Figure 3)","seven ontology-defined program families (253 constituent GO terms)","atlas size","7 themes; 253 GO-BP terms","count","config/manuscript_go_theme_registry.tsv","theme_id","theme_role == primary; registry manuscript_go_themes_v3","F3b","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S3-11","Results 3 (Figure 3)","132 of 378 theme x unit x contrast cells contain a supported term","atlas cells with support marker","132 of 378 (34.9%)","cells","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_atlas_source_data.csv","support marker","7 themes x 18 units x 3 contrasts","F3b/ED6","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S3-12","Results 3 (Figure 3)","26.7% of FDR-supported GO occurrences and 14.0% of unique identifiers","atlas coverage of supported GO","953/3566 = 26.7%; 148/1056 = 14.0%","fraction","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_atlas_source_data.csv","occurrence / unique GO_ID","atlas vs all supported","F3b","DESCRIPTIVE","VERIFIED_FROM_SOURCE"
"S3-13","Results 3 (Figure 3)","synaptic-signalling program in CA3-SR, SUS-RES and SUS-CON","GO:0099536 NES / FDR","SUS-RES -1.7192 / 4.12e-08; SUS-CON -1.7162 / 7.38e-06","NES / FDR","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_bridge_source_data.csv","NES / GSEA_FDR","GO:0099536, CA3_sr neuropil","F3c,d","DIRECT_INFERENCE","VERIFIED_FROM_SOURCE"
"S3-14","Results 3 (Figure 3)","no support for the resilient-versus-control arm (FDR 0.19)","GO:0099536 RES-CON","NES +1.3424; FDR 0.1881","NES / FDR","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_bridge_source_data.csv","NES / GSEA_FDR","GO:0099536, CA3_sr, RES-CON","F3c,d","LIMITATION","VERIFIED_FROM_SOURCE"
"S3-15","Results 3 (Figure 3)","mRNA-processing program in CA2 neuronal soma","GO:0006397 NES / FDR","SUS-RES +2.1258 / 1.93e-07; SUS-CON +1.6201 / 0.0284; RES-CON -1.1701 / 0.7764","NES / FDR","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_bridge_source_data.csv","NES / GSEA_FDR","GO:0006397, CA2 neuronal soma","F3c,e","DIRECT_INFERENCE","VERIFIED_FROM_SOURCE"
"S3-16","Results 3 (Figure 3)","oxidative-phosphorylation program supported in all three contrasts","GO:0006119 NES / FDR","SUS-RES -2.1110 / 5.75e-05; SUS-CON -2.7608 / 1.52e-08; RES-CON -1.7751 / 3.15e-03","NES / FDR","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_bridge_source_data.csv","NES / GSEA_FDR","GO:0006119, CA1 microglia-enriched ROI","F3c,f","DIRECT_INFERENCE","VERIFIED_FROM_SOURCE"
"S3-17","Results 3 (Figure 3)","median per-comparison Spearman rho = 0.93","GSEA-CAMERA rank agreement","0.9292 (range 0.8236-0.9611)","Spearman rho","results/tables/10_biological_integration","spearman","54 comparisons","n/a (sensitivity)","SENSITIVITY","VERIFIED_FROM_SOURCE"
"S3-18","Results 3 (Figure 3)","all 3,559 FDR-supported terms direction-concordant; 22.1% retain FDR","CAMERA concordance","3559 terms; 100% concordant; 22.11% retained","percent","results/tables/10_biological_integration","direction / CAMERA FDR","GSEA FDR-supported terms","n/a","SENSITIVITY","VERIFIED_FROM_SOURCE"
"S3-19","Results 3 (Figure 3)","no module-outcome contrast survived correction (0 of 45; smallest FDR 0.25)","WGCNA module-phenotype","0 of 45; smallest FDR 0.2450","tests","results/tables/06_modules_WGCNA/group_effects","FDR","module x contrast cells","ED WGCNA b","LIMITATION","VERIFIED_FROM_SOURCE"
"S3-20","Results 3 (Figure 3)","no stress x spatial-unit interaction omnibus test FDR-supported (0 of 35; smallest FDR 0.27)","WGCNA interaction omnibus","0 of 35; smallest FDR 0.2741","tests","results/tables/06_modules_WGCNA/group_effects","FDR","interaction_omnibus family","ED WGCNA b","LIMITATION","VERIFIED_FROM_SOURCE"
"S3-21","Results 3 (Figure 3)","exact permutation P = 0.58, 0.80 and 0.74; attainable floor 0.004","whole-network group comparison","0.5786 / 0.8036 / 0.7357; floor 0.003571","P","results/tables/11_spatial_systems","exact permutation p","neuropil / soma / microglia","ED8b,c","LIMITATION","VERIFIED_FROM_SOURCE"
"S3-22","Results 3 (Figure 3)","no edge-behaviour association survived correction (0 of 48)","edge-behaviour coupling","0 of 48; smallest BH 0.4283","tests","results/tables/08_behavior_physio_coupling","BH p","48 distinct edge x outcome tests","ED8d","LIMITATION","VERIFIED_FROM_SOURCE"
"S3-23","Results 3 (Figure 3)","none of the 63 displayed values is individually FDR-supported (smallest BH FDR 0.53)","leading-edge protein FDR","0 of 63; smallest BH 0.5251","proteins","results/source_data/manuscript_candidates/final_truth_v9/figure_03/v9_prot_syn_source_data.csv","fdr / sig","21 proteins x 3 contrasts across panels g,h,i","F3g-i","LIMITATION","VERIFIED_FROM_SOURCE"
"S1-01","Results 1 (Figure 1)","a fixed 12-h window from 18:30 to 06:30 in 10-min bins (72 slots)","early window","18:30-06:30; 12 h; 10-min; 72 slots","clock window","manuscript/figure1_bridge_mmmsociability/figure1_methods_contract.csv","value","FM-01","F1b","DESCRIPTIVE","VERIFIED_FROM_FROZEN_BRIDGE"
"S1-02","Results 1 (Figure 1)","the unweighted mean of those six components","CombZ components","6","components","manuscript/figure1_bridge_mmmsociability/figure1_methods_contract.csv","value","FM-03","F1a","DESCRIPTIVE","VERIFIED_FROM_FROZEN_BRIDGE"
"S1-03","Results 1 (Figure 1)","CombZ fell more than one control standard deviation below the same-sex control mean","classification rule","same-sex CON mean minus 1 population SD","threshold rule","manuscript/figure1_bridge_mmmsociability/figure1_methods_contract.csv","value","FM-05","F1a","DESCRIPTIVE","VERIFIED_FROM_FROZEN_BRIDGE"
"S1-04","Results 1 (Figure 1)","Spearman rho = -0.39, 95% CI [-0.55, -0.21], q = 6.9e-05","Movement_mean association","rho -0.3902639142724438; CI -0.547434593760078 to -0.20917806610402842; q 6.8776554749896e-05","Spearman rho","manuscript/figure1_bridge_mmmsociability/figure1_claim_contract.csv","claim_text_candidate","F1-03","F1c","DIRECT_ASSOCIATION","VERIFIED_FROM_FROZEN_BRIDGE_AND_SOURCE_TABLE"
"S1-05","Results 1 (Figure 1)","n = 111 animals, 58 female and 53 male, comprising 24 control, 49 resilient and 38 susceptible","analysis population","111; 58F/53M; CON 24, RES 49, SUS 38","animals","manuscript/figure1_bridge_mmmsociability/figure1_methods_contract.csv","value","FM-11","F1c","DESCRIPTIVE","VERIFIED_FROM_FROZEN_BRIDGE_AND_SOURCE_TABLE"
"S1-06","Results 1 (Figure 1)","movement RMSSD, was associated in the same direction but more weakly (rho = -0.23, q = 0.026)","Movement_rmssd association","rho -0.22552650052650053; q 0.025974681197842797","Spearman rho","manuscript/figure1_bridge_mmmsociability/figure1_claim_contract.csv","claim_text_candidate","F1-04","F1c","DIRECT_ASSOCIATION","VERIFIED_FROM_FROZEN_BRIDGE_AND_SOURCE_TABLE"
"S1-07","Results 1 (Figure 1)","did not reach FDR support (rho = -0.18, q = 0.067, with a bootstrap interval including zero)","Entropy_acf1 association","rho -0.17471042471042472; q 0.06665634010405593","Spearman rho","manuscript/figure1_bridge_mmmsociability/figure1_claim_contract.csv","claim_text_candidate","F1-05","F1c","LIMITATION","VERIFIED_FROM_FROZEN_BRIDGE_AND_SOURCE_TABLE"
"S1-08","Results 1 (Figure 1)","explained approximately 16% of the variation in later CombZ in held-out animals (R2 = 0.159)","LOAO R2, movement_mean","0.15939455855319962","R2","manuscript/figure1_bridge_mmmsociability/figure1_claim_contract.csv","claim_text_candidate","F1-06","F1d","OUT_OF_SAMPLE_PREDICTION","VERIFIED_FROM_FROZEN_BRIDGE_AND_SOURCE_TABLE"
"S1-09","Results 1 (Figure 1)","against -0.018 for an intercept-only baseline","LOAO R2, mean_only baseline","-0.01826446280991756","R2","S:/Lab_Member/Tobi/.../primary_prediction_performance.csv","cv_r2","model_id=mean_only","F1d","DESCRIPTIVE","VERIFIED_FROM_SOURCE_TABLE"
"S1-10","Results 1 (Figure 1)","mean R2 = 0.156; 2.5th-97.5th percentile range across repeats 0.116-0.179","repeated grouped 5-fold","0.15582272536971034; q025 0.11594027484397953; q975 0.17904334073063455","R2","manuscript/figure1_bridge_mmmsociability/figure1_claim_contract.csv","claim_text_candidate","F1-06","F1d","OUT_OF_SAMPLE_PREDICTION","VERIFIED_FROM_FROZEN_BRIDGE_AND_SOURCE_TABLE"
"S1-11","Results 1 (Figure 1)","placed the observed value beyond every one of 1,000 draws (p = 1/1001)","permutation test","p 9.99000999000999e-4 over 1000 draws; 0 null draws reached the observed value","empirical p","manuscript/figure1_bridge_mmmsociability/figure1_methods_contract.csv","value","FM-08","F1d","OUT_OF_SAMPLE_PREDICTION","VERIFIED_FROM_FROZEN_BRIDGE_AND_SOURCE_TABLE"
"S1-12","Results 1 (Figure 1)","Formal feature-by-sex interaction tests were unsupported for all three features (all q = 0.90)","feature-by-sex interaction","0.8951970487582287 for all three features","BH-adjusted p","manuscript/figure1_bridge_mmmsociability/figure1_claim_contract.csv","claim_text_candidate","F1-08","ED9b","INTERACTION","VERIFIED_FROM_FROZEN_BRIDGE_AND_SOURCE_TABLE"
"S1-13","Results 1 (Figure 1)","near-identical (rho = -0.41 in 58 females and -0.42 in 53 males)","sex-stratified Movement_mean","female -0.41 n 58; male -0.42 n 53","Spearman rho","manuscript/figure1_bridge_mmmsociability/figure1_claim_contract.csv","claim_text_candidate","F1-08","ED9c","DESCRIPTIVE","VERIFIED_FROM_FROZEN_BRIDGE_AND_SOURCE_TABLE"
"S1-14","Results 1 (Extended Data Figure 9)","Adding the two remaining features, or sex, did not improve on mean movement alone","LOAO R2, primary_behavior_family","0.15244533423713502; repeated CV mean 0.147903069815968; q025 0.10275644278618; q975 0.180035857415821","cross-validated R2","manuscript/figure1_bridge_mmmsociability/behavior_prediction_model_ladder.csv","loao_r2; repeated_cv_mean_r2; cv_r2_q025; cv_r2_q975","primary_behavior_family","ED9a","DESCRIPTIVE","VERIFIED_FROM_FROZEN_BRIDGE"
"S1-15","Results 1 (Extended Data Figure 9)","Adding the two remaining features, or sex, did not improve on mean movement alone","LOAO R2, sex-adjusted sensitivity models","movement_mean_sex 0.152414758223001; primary_behavior_family_sex 0.142304073135989","cross-validated R2","manuscript/figure1_bridge_mmmsociability/behavior_prediction_model_ladder.csv","loao_r2","movement_mean_sex; primary_behavior_family_sex","ED9a","DESCRIPTIVE","VERIFIED_FROM_FROZEN_BRIDGE"
"S1-16","Results 1 (Extended Data Figure 9)","Formal feature-by-sex interaction tests were unsupported for all three features","feature-by-sex interaction estimates with 95% CI","Movement_mean -0.0148385147891501 [-0.23760900236771, 0.20793197278941]; Movement_rmssd 0.0519267599051075 [-0.162452677925859, 0.266306197736074]; Entropy_acf1 0.994124117243808 [-1.17630638450431, 3.16455461899193]","interaction estimate","manuscript/figure1_bridge_mmmsociability/behavior_sex_effect_contract.csv","interaction_estimate; interaction_ci_low; interaction_ci_high","all three features","ED9b","STATISTICAL","VERIFIED_FROM_FROZEN_BRIDGE"
