"publication_id","source_repo","source_commit","source_analysis","source_table","exported_file","rows","columns","sha256","contract_version"
"extended_data_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_03/extended_data_03e_source_data.csv","results/publication_source_data/extended_data_03/extended_data_03e_source_data.csv",28,9,"eba7fa557bb5f18c38524b53c8196d1ddac46c506e03e8b2d4a588f878b9c6d8","publication_source_data_v1"
"extended_data_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/figures/manuscript/extended_data_03/assembled/extended_data_03.svg","results/publication_source_data/extended_data_03/assembled/extended_data_03.svg",NA,NA,"efa6303c691a8098b1894ea9b6a7d291270bd3239c7335e8db7cfc16422ad559","publication_source_data_v1"
"extended_data_05","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/source_data/manuscript/extended_data_05/extended_data_05a_source_data.csv","results/publication_source_data/extended_data_05/extended_data_05a_source_data.csv",7,15,"1906b79584a80418236dfdd120df5151aefb20fd0a39b5c258c60fd56869ea73","publication_source_data_v1"
"extended_data_05","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/source_data/manuscript/extended_data_05/extended_data_05b_source_data.csv","results/publication_source_data/extended_data_05/extended_data_05b_source_data.csv",5,12,"728830a7ed89a27f19fff01e187d8f71bb2753ea3629bf26a2774581a3246d4d","publication_source_data_v1"
"extended_data_05","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/figures/manuscript/extended_data_05/assembled/extended_data_05.svg","results/publication_source_data/extended_data_05/assembled/extended_data_05.svg",NA,NA,"ff981d15c3dafe6dae6266a6c2d35bdd9702abf7220a51391420bb4d29352348","publication_source_data_v1"
"extended_data_06","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_06/extended_data_06a_source_data.csv","results/publication_source_data/extended_data_06/extended_data_06a_source_data.csv",126,11,"d0361f280e1b78e8ad0c4cd14ff61a32a1d2ae5f17974f120831be1716754301","publication_source_data_v1"
"extended_data_06","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_06/extended_data_06b_source_data.csv","results/publication_source_data/extended_data_06/extended_data_06b_source_data.csv",126,11,"b65e17d8c4fcf79c9538f70a0f1edc715a69029781ffcbe4fc013ab9c2335c6b","publication_source_data_v1"
"extended_data_06","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_06/extended_data_06c_source_data.csv","results/publication_source_data/extended_data_06/extended_data_06c_source_data.csv",1,10,"ad4d541cc62195d73d8605b09aa27ccee6a3075459552466b85ebb19cf36e0ed","publication_source_data_v1"
"extended_data_06","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_06/extended_data_06d_source_data.csv","results/publication_source_data/extended_data_06/extended_data_06d_source_data.csv",1,10,"3ceddac8e0359eb2d13d99e1321a22a2a5343ba6f034f30878bef5cdb7b45785","publication_source_data_v1"
"extended_data_06","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_06/extended_data_06e_source_data.csv","results/publication_source_data/extended_data_06/extended_data_06e_source_data.csv",1,10,"673c823087c14b23b80c2e14eea9e4d3e46abcadd79cc210481fd407a698feb4","publication_source_data_v1"
"extended_data_06","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/figures/manuscript/extended_data_06/assembled/extended_data_06.svg","results/publication_source_data/extended_data_06/assembled/extended_data_06.svg",NA,NA,"a3cf343b073892eade34beb5e8af3a008efcdc68cffb271a99942f54dabe45a9","publication_source_data_v1"
"extended_data_08","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_08/extended_data_08a_source_data.csv","results/publication_source_data/extended_data_08/extended_data_08a_source_data.csv",114,5,"eb656b9366eba8303d9eafb4e1fcb9fbc546bfe9e24552069df4dc018d1cfa65","publication_source_data_v1"
"extended_data_08","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_08/extended_data_08b_source_data.csv","results/publication_source_data/extended_data_08/extended_data_08b_source_data.csv",27,12,"d9275f9be189dcfa5b44dd5b0ed8825d1e6a4f7267c226147f7b0051a3baa495","publication_source_data_v1"
"extended_data_08","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_08/extended_data_08c_source_data.csv","results/publication_source_data/extended_data_08/extended_data_08c_source_data.csv",3,6,"c16931f4a2a9a0953b8e9f1bdb0531c128269a43dfb2c40839f433cbb8a4bfa5","publication_source_data_v1"
"extended_data_08","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/extended_data_08/extended_data_08d_source_data.csv","results/publication_source_data/extended_data_08/extended_data_08d_source_data.csv",48,18,"21e124e98b168eddc796f3502afd752550a982e7932215d6d63ff40a0fbc127f","publication_source_data_v1"
"extended_data_08","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/figures/manuscript/extended_data_08/assembled/extended_data_08.svg","results/publication_source_data/extended_data_08/assembled/extended_data_08.svg",NA,NA,"259ae320ae8515e5fce25e082761d02e2833fc8692ad793b2bdf728081872281","publication_source_data_v1"
"extended_data_09","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/source_data/manuscript/extended_data_09/extended_data_09a_source_data.csv","results/publication_source_data/extended_data_09/extended_data_09a_source_data.csv",3,13,"36862ee97767834746c36be3edd4170725051754c1ef8f8353679de29ccf146c","publication_source_data_v1"
"extended_data_09","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/source_data/manuscript/extended_data_09/extended_data_09b_source_data.csv","results/publication_source_data/extended_data_09/extended_data_09b_source_data.csv",3,11,"de3867978186cfaf8b313bcc3808edf19a43af198bb8726c15d54604965e269b","publication_source_data_v1"
"extended_data_09","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/source_data/manuscript/extended_data_09/extended_data_09c_source_data.csv","results/publication_source_data/extended_data_09/extended_data_09c_source_data.csv",3,11,"de3867978186cfaf8b313bcc3808edf19a43af198bb8726c15d54604965e269b","publication_source_data_v1"
"extended_data_09","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/figures/manuscript/extended_data_09/assembled/extended_data_09.svg","results/publication_source_data/extended_data_09/assembled/extended_data_09.svg",NA,NA,"8a7851458110ea0d08f2cd3e236d003e81c9f20c56bc7c8d44b73ff98dfaed34","publication_source_data_v1"
"figure_01","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/source_data/manuscript/figure_01/figure_01a_source_data.csv","results/publication_source_data/figure_01/figure_01a_source_data.csv",7,15,"1906b79584a80418236dfdd120df5151aefb20fd0a39b5c258c60fd56869ea73","publication_source_data_v1"
"figure_01","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/source_data/manuscript/figure_01/figure_01b_source_data.csv","results/publication_source_data/figure_01/figure_01b_source_data.csv",117,17,"92fcb8062baa92329e6682addb061f5de41374930455f1f20337979eed15de23","publication_source_data_v1"
"figure_01","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/source_data/manuscript/figure_01/figure_01c_source_data.csv","results/publication_source_data/figure_01/figure_01c_source_data.csv",111,9,"b992ad5a2fc61fe54d798f3f51585dab5f6667433cd88a8670c536e5785b0725","publication_source_data_v1"
"figure_01","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/source_data/manuscript/figure_01/figure_01d_source_data.csv","results/publication_source_data/figure_01/figure_01d_source_data.csv",111,11,"df987c921f3ffb2546558fb3bb9722b5c12fb1fb62414d175e92e379478d2644","publication_source_data_v1"
"figure_01","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","topohl/MMMSociability","results/figures/manuscript/figure_01/assembled/figure_01.svg","results/publication_source_data/figure_01/assembled/figure_01.svg",NA,NA,"cdb066da6b9996046e3a8e7e35a98e6c81f4695472139fbe6d285621eaa88115","publication_source_data_v1"
"figure_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_02/figure_02a_source_data.csv","results/publication_source_data/figure_02/figure_02a_source_data.csv",18,6,"d43386cd472ce8665fb8b37ed72462d63b6ba765f62a60127c11cf57acfebd4d","publication_source_data_v1"
"figure_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_02/figure_02b_source_data.csv","results/publication_source_data/figure_02/figure_02b_source_data.csv",323,5,"a96f684fe0a99d4d3ddb0752dd237cc8fd527b8905a0b3c36c1f974342c5001f","publication_source_data_v1"
"figure_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_02/figure_02c_source_data.csv","results/publication_source_data/figure_02/figure_02c_source_data.csv",323,4,"afed3b106d6059d0b2364d8b94167b929ca54e4caf002154bb6c613ab4538361","publication_source_data_v1"
"figure_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_02/figure_02d_source_data.csv","results/publication_source_data/figure_02/figure_02d_source_data.csv",378,25,"e24882adedc570db5e493d6fd90c451f7f3d792f715e7eeff6a4dcab2e75cee2","publication_source_data_v1"
"figure_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_02/figure_02e_source_data.csv","results/publication_source_data/figure_02/figure_02e_source_data.csv",30,6,"c84c10c77626b96737076785d5c1c960feb29e8ba1d7a9f6525fbcbe5e1870bd","publication_source_data_v1"
"figure_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_02/figure_02f_source_data.csv","results/publication_source_data/figure_02/figure_02f_source_data.csv",15,3,"82dd12966c8075357e0965f36414bc8945199641715b388f8f6ade6ddf05eab7","publication_source_data_v1"
"figure_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_02/figure_02g_source_data.csv","results/publication_source_data/figure_02/figure_02g_source_data.csv",10,6,"fce8dd5433f8c1b53418a771b38a7286d20acb6ded53d54acf0ccdb2001e6560","publication_source_data_v1"
"figure_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_02/figure_02h_source_data.csv","results/publication_source_data/figure_02/figure_02h_source_data.csv",7,7,"5714040d944c4aab063da2db14bdb5adcc1fd3d73db942489eee2ef38361fea4","publication_source_data_v1"
"figure_02","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/figures/manuscript/figure_02/assembled/figure_02.svg","results/publication_source_data/figure_02/assembled/figure_02.svg",NA,NA,"f176c8a7e6f6b8951c306f321e7faea9cb2daf057d91c941197fbd083d80a32d","publication_source_data_v1"
"figure_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_03/figure_03a_source_data.csv","results/publication_source_data/figure_03/figure_03a_source_data.csv",18,7,"258ac2ac4a7a48900d34c99e45e3635df4da337f71212ed149d6cb0675e6d276","publication_source_data_v1"
"figure_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_03/figure_03b_source_data.csv","results/publication_source_data/figure_03/figure_03b_source_data.csv",126,11,"8dd21e47917feac3c27310c19b1de0fa5219a2a730c380de329fc7d7cb82f78e","publication_source_data_v1"
"figure_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_03/figure_03c_source_data.csv","results/publication_source_data/figure_03/figure_03c_source_data.csv",9,10,"dc9c8f1dc9f33e5dd4de7b38304f371d6c6063e353dfee02c8c9a541fb7dfe9d","publication_source_data_v1"
"figure_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_03/figure_03d_source_data.csv","results/publication_source_data/figure_03/figure_03d_source_data.csv",1,12,"a45f4f93b02f39660e491159435388c27bf473417091e86c9b5c10ca49729e8a","publication_source_data_v1"
"figure_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_03/figure_03e_source_data.csv","results/publication_source_data/figure_03/figure_03e_source_data.csv",1,12,"0dc2c1728be08401a429d777cbe003c323ca250e853bc49e2498962b098c96e0","publication_source_data_v1"
"figure_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_03/figure_03f_source_data.csv","results/publication_source_data/figure_03/figure_03f_source_data.csv",1,12,"6f4fda5f38e20fcbb497376e638eb62e85713696d693e1fe5d1bf548e5ffe96a","publication_source_data_v1"
"figure_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_03/figure_03g_source_data.csv","results/publication_source_data/figure_03/figure_03g_source_data.csv",21,8,"1a0c0a73eeac8d1d49556f9d1ded417dc087a0d95eaf30372af1233f3ca1a382","publication_source_data_v1"
"figure_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_03/figure_03h_source_data.csv","results/publication_source_data/figure_03/figure_03h_source_data.csv",21,8,"8ecaa4e1d4a2cfddeb943f2336dc2ae82009bd6376db86eea3d676314538d7a8","publication_source_data_v1"
"figure_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/source_data/manuscript/figure_03/figure_03i_source_data.csv","results/publication_source_data/figure_03/figure_03i_source_data.csv",21,8,"93ecc2e5f93d73fc6dfb64a9b3792e2507487523a301e6aaa81db8cd2311977b","publication_source_data_v1"
"figure_03","topohl/pRoteomics","13d15cbaab4f3f3af3ed47b4ce5e42fdd5196c0a","this repository","results/figures/manuscript/figure_03/assembled/figure_03.svg","results/publication_source_data/figure_03/assembled/figure_03.svg",NA,NA,"1c3799e6750cf44bc77f72e9d1d19a69cd3b86748490d67937573284c8cdf4fd","publication_source_data_v1"
