"consumer_file","disposition","rationale","also_calls_resolver"
"R/statistics/wgcna_label_activation_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/statistics/wgcna_label_adjudication_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/statistics/wgcna_reviewed_label_registry.R","REPOINTED","Present in both inventories.",FALSE
"R/utilities/export_helpers.R","REPOINTED","Present in both inventories.",FALSE
"R/utilities/output_namespace_utils.R","REPOINTED","Present in both inventories.",FALSE
"R/utilities/pipeline_registry.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-analysis-publication-boundary.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-clusterprofiler-reproducibility.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-consumer-enumeration.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-control-compartment-abundance-rendering.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-enrichment-writer-namespace.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-export-dry-run-hygiene.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-export-target-path-budget.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-gsea-wgcna-ontology-theme-integration.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-manuscript-go-theme-utils.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-microglia-wgcna-nature-readiness-audit.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-output-layout-contract.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-output-namespace-contract.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-pipeline-registry.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-publication-freeze-manifest.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-repository-hygiene.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-source-data-export-copy.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-source-data-journal-scope.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-spatial-validation-writer-namespace.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-group-effect-consumer-utils.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-label-activation.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-label-adjudication.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-network-position-and-label-coherence.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-reviewed-label-registry.R","REPOINTED","Present in both inventories.",FALSE
"tools/audit_control_spatial_gsea_reproducibility.R","REPOINTED","Present in both inventories.",FALSE
"tools/audit_coordinating_families.R","REPOINTED","Present in both inventories.",FALSE
"tools/export_publication_source_data.R","REPOINTED","Present in both inventories.",FALSE
"tools/generate_architecture_docs.R","REPOINTED","Present in both inventories.",FALSE
"tools/generate_legacy_output_registry.R","REPOINTED","Present in both inventories.",FALSE
"tools/generate_results_ownership.R","REPOINTED","Present in both inventories.",FALSE
"tools/migrate_publication_export_bundle.R","REPOINTED","Present in both inventories.",FALSE
"tools/normalize_script_headers.R","REPOINTED","Present in both inventories.",FALSE
"tools/preflight_writer_migration.R","REPOINTED","Present in both inventories.",FALSE
"analysis/differential_abundance/test_microglia_targeted_signatures.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/build_cross_compartment_atlas.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/publication_source_data/build_biological_claims_table.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/qc/assess_joint_compartment_quality.R","RESOLVER_DELEGATED","Still a consumer. It reads through qc_find()/qc_dir_any(), so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/qc/assess_marker_rank_abundance.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/qc/assess_sample_quality.R","RESOLVER_DELEGATED","Still a consumer. It reads through qc_find()/qc_dir_any(), so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/qc/build_reference_marker_registry.R","RESOLVER_DELEGATED","Still a consumer. It reads through qc_find()/qc_dir_any(), so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/qc/discover_empirical_roi_markers.R","RESOLVER_DELEGATED","Still a consumer. It reads through qc_find()/qc_dir_any(), so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/qc/export_marker_traits.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/qc/render_joint_compartment_qc_figures.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/qc/summarize_marker_detectability.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/qc/summarize_qc_confounding.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/spatial_validation/audit_ca2_slm_robustness.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/spatial_validation/build_module_spatial_atlas.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/spatial_validation/build_protein_spatial_atlas.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/spatial_validation/decompose_bilateral_variance.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/spatial_validation/quantify_empirical_compartments.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/spatial_validation/quantify_neuropil_precision.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/wgcna/annotate_module_microenvironment.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/wgcna/audit_microglia_module_claims.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/wgcna/audit_module_robustness.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/data_contracts/spatial_systems_endpoint_utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/qc/control_compartment_abundance_workflow.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/statistics/wgcna_downstream_utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
