"baseline_consumer_file","dependency_kind","still_present","calls_wgcna_helper","final_scan_class","disposition"
"tests/testthat/test-clusterprofiler-master-hardening.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-consumer-enumeration.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-differential-abundance-writer-namespace.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-enrichment-writer-namespace.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-export-dry-run-hygiene.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/testthat/test-export-target-path-budget.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-integration-writer-namespace.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-module-score-metadata-resolution.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-module-script-entrypoints.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-output-layout-contract.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-pipeline-registry.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-protein-mapping-utils.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-publication-freeze-manifest.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-qc-writer-namespace.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-schema-validation.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-source-data-export-copy.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-source-data-journal-scope.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-stage11-ranked-gsea-source-vocabulary.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-sus-res-biological-audit-workbook.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-sus-res-biological-summary-artifact.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-wgcna-circular-atlas-tier-specific-fdr.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/testthat/test-wgcna-claim-readiness.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/testthat/test-wgcna-group-effect-consumer-utils.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-wgcna-group-effects-contract.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/testthat/test-wgcna-group-effects-phase2b.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/testthat/test-wgcna-identity-contract.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/testthat/test-wgcna-label-activation.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/testthat/test-wgcna-label-adjudication.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/testthat/test-wgcna-network-position-and-label-coherence.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/testthat/test-wgcna-reviewed-label-registry.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/testthat/test-wgcna-selected-supermodule-contents.R","TEST",TRUE,FALSE,"none","TEST_FIXTURE"
"tests/testthat/test-wgcna-stage13-downstream-integration.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tests/testthat/test-wgcna-wave1a-semantic-handoff.R","TEST",TRUE,FALSE,"TEST_FIXTURE","TEST_FIXTURE"
"tools/audit_control_spatial_gsea_reproducibility.R","INDIRECT_READER_VIA_HELPER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"tools/audit_wgcna_support_status.R","DIRECT_READER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"tools/export_publication_source_data.R","EXPORTER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"tools/generate_architecture_docs.R","EXPORTER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"tools/migrate_publication_export_bundle.R","EXPORTER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
"tools/normalize_script_headers.R","EXPORTER",TRUE,FALSE,"none","RESOLVER_DELEGATED"
