"file","line_start","line_end","syntactic_form","artifact_family","kind","artifact","current_path_expression","access","active_runtime","has_wildcard","classification","intended_action","why_original_oracle_missed_it"
"analysis/wgcna/audit_microglia_module_claims.R",124,124,"converted_in_batch_3B","01_WGCNA",NA,"<directory>",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/audit_microglia_module_claims.R",182,182,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_run_manifest.yml",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/audit_microglia_module_claims.R",183,183,"converted_in_batch_3B","01_WGCNA",NA,"run_manifest.yml",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/audit_microglia_module_claims.R",185,185,"converted_in_batch_3B","01_WGCNA",NA,"supermodule_clustering_sensitivity.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/build_wgcna_modules.R",NA,NA,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_expression.xlsx",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/build_wgcna_modules.R",NA,NA,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_sample_info.xlsx",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/compare_module_enrichment_overlap.R",133,133,"converted_in_batch_3B","01_WGCNA",NA,"WGCNA_module_definitions_for_downstream.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/compare_module_enrichment_overlap.R",134,134,"converted_in_batch_3B","01_WGCNA",NA,"WGCNA_feature_universe.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/compare_module_enrichment_overlap.R",135,135,"converted_in_batch_3B","01_WGCNA",NA,"WGCNA_module_priority_summary.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/render_module_go_heatmaps.R",52,52,"converted_in_batch_3B","01_WGCNA",NA,"WGCNA_module_GO_enrichment_long.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/render_module_go_heatmaps.R",53,53,"converted_in_batch_3B","01_WGCNA",NA,"module_name_map.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/render_module_go_heatmaps.R",54,54,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_module_supermodule_annotation.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/render_module_go_heatmaps.R",54,54,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_supermodule_eigengene_clusters.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"audits/part29/wgcna_registry_final_review.R",71,71,"converted_in_batch_3B","01_WGCNA",NA,"WGCNA_module_GO_enrichment_long.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"audits/part29/wgcna_registry_final_review.R",71,71,"converted_in_batch_3B","01_WGCNA",NA,"WGCNA_module_summary.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",122,122,"converted_in_batch_3B","01_WGCNA",NA,"WGCNA_module_definitions_for_downstream.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",125,125,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_module_supermodule_annotation.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",128,128,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_supermodule_summary.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",131,131,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_supermodule_eigengene_clusters.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",134,134,"converted_in_batch_3B","01_WGCNA",NA,"supermodule_clustering_sensitivity.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",137,137,"converted_in_batch_3B","01_WGCNA",NA,"run_manifest.yml",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",138,138,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_run_manifest.yml",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",139,139,"converted_in_batch_3B","01_WGCNA",NA,"output_manifest.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",140,140,"converted_in_batch_3B","01_WGCNA",NA,"WGCNA_parameter_audit.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",143,143,"converted_in_batch_3B","01_WGCNA",NA,"analysis_parameters.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",859,859,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_supermodule_eigengene_clusters.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",867,867,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_module_supermodule_annotation.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",879,879,"converted_in_batch_3B","01_WGCNA",NA,"wgcna_supermodule_summary.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"tests/testthat/test-wgcna-claim-readiness.R",232,232,"alias","01_WGCNA","processed","wgcna_final_model_state.rds","file.path(root, ""data"", ""processed"", ""06_modules_WGCNA"", ""01_WGCNA"", ""microglia"", ""wgcna_final_model_state.rds"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-wgcna-failed-run-export-guard.R",30,30,"file.path","01_WGCNA","figures","x.svg","file.path(""results/figures/06_modules_WGCNA/01_WGCNA"", ds, ""main/x.svg"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'file.path', not a literal path_results() call"
"tests/testthat/test-wgcna-failed-run-export-guard.R",37,38,"file.path","01_WGCNA","figures","x.svg","file.path(""results/figures/06_modules_WGCNA/01_WGCNA"", paste0(ds, ""_failed_20260720_133211""), ""main/x.svg"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'file.path', not a literal path_results() call"
"tests/testthat/test-wgcna-failed-run-export-guard.R",54,54,"file.path","01_WGCNA","figures","x.svg","file.path(""results/figures/06_modules_WGCNA/01_WGCNA"", seg, ""x.svg"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'file.path', not a literal path_results() call"
"tests/testthat/test-wgcna-failed-run-export-guard.R",118,118,"alias","01_WGCNA","figures","x.svg","file.path(""results/figures/06_modules_WGCNA/01_WGCNA"", failed, ""main/x.svg"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-wgcna-failed-run-export-guard.R",120,120,"alias","01_WGCNA","source_data","x.csv","file.path(""results/source_data/06_modules_WGCNA/01_WGCNA"", failed, ""x.csv"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-wgcna-group-effects-contract.R",12,15,"path_processed","01_WGCNA","processed","wgcna_final_model_state.rds","path_processed( ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""wgcna_final_model_state.rds"" )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'path_processed', not a literal path_results() call"
"tests/testthat/test-wgcna-group-effects-phase2b.R",788,791,"path_processed","01_WGCNA","processed","wgcna_final_model_state.rds","path_processed( ""06_modules_WGCNA"", ""01_WGCNA"", ""microglia"", ""wgcna_final_model_state.rds"" )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'path_processed', not a literal path_results() call"
"tests/testthat/test-wgcna-reviewed-label-registry.R",12,15,"test_path","01_WGCNA","tables","wgcna_module_supermodule_annotation.csv","testthat::test_path( "".."", "".."", ""results"", ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ""microglia"", ""supermodules"", ""wgcna_module_supermodule_annotation.csv"" )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'test_path', not a literal path_results() call"
"tests/testthat/test-wgcna-reviewed-label-registry.R",16,19,"test_path","01_WGCNA","tables","wgcna_supermodule_summary.csv","testthat::test_path( "".."", "".."", ""results"", ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ""microglia"", ""supermodules"", ""wgcna_supermodule_summary.csv"" )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'test_path', not a literal path_results() call"
"tests/testthat/test-wgcna-stage13-downstream-integration.R",298,298,"stage13_test_path","01_WGCNA","processed","wgcna_final_model_state.rds","stage13_test_path(""data"", ""processed"", ""06_modules_WGCNA"", ""01_WGCNA"", ""neuron_soma"", ""wgcna_final_model_state.rds"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'stage13_test_path', not a literal path_results() call"
"tests/testthat/test-wgcna-stage13-downstream-integration.R",299,299,"stage13_test_path","01_WGCNA","processed","wgcna_final_model_state.rds","stage13_test_path(""data"", ""processed"", ""06_modules_WGCNA"", ""01_WGCNA"", ""neuron_neuropil"", ""wgcna_final_model_state.rds"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'stage13_test_path', not a literal path_results() call"
"tests/testthat/test-wgcna-writer-namespace.R",280,281,"file.path","01_WGCNA","processed","<directory>","file.path(root, ""data"", ""processed"", ""06_modules_WGCNA"", ""01_WGCNA"", ""neuron_neuropil"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'file.path', not a literal path_results() call"
"tests/testthat/test-wgcna-writer-namespace.R",290,290,"alias","01_WGCNA","tables","<directory>","file.path(hist, FN)","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-wgcna-writer-namespace.R",292,292,"alias","01_WGCNA","tables","<directory>","file.path(hist, FN)","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-wgcna-writer-namespace.R",298,298,"alias","01_WGCNA","tables","<directory>","file.path(hist, FN)","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-wgcna-writer-namespace.R",312,313,"file.path","01_WGCNA","tables","<directory>","file.path(root, ""results"", ""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ""neuron_neuropil"", ""modules"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'file.path', not a literal path_results() call"
"tests/testthat/test-wgcna-writer-namespace.R",315,315,"alias","01_WGCNA","tables","WGCNA_modules_long.csv","file.path(hist, ""WGCNA_modules_long.csv"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"audits/wgcna/proteomics_wgcna_downstream_audit.R",93,93,"converted_in_batch_3B","claim_readiness",NA,"WGCNA_entity_claim_readiness.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",960,960,"converted_in_batch_3B","claim_readiness",NA,"WGCNA_entity_claim_readiness.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"tests/testthat/test-wgcna-claim-readiness.R",84,84,"alias","claim_readiness","tables","WGCNA_entity_claim_readiness.csv","file.path(root, ""results"", ""tables"", ""06_modules_WGCNA"", ""claim_readiness"", ""microglia"", ""WGCNA_entity_claim_readiness.csv"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-wgcna-claim-readiness.R",124,124,"alias","claim_readiness","tables","WGCNA_entity_claim_readiness.csv","file.path(root, ""results"", ""tables"", ""06_modules_WGCNA"", ""claim_readiness"", ""microglia"", ""WGCNA_entity_claim_readiness.csv"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-wgcna-stage13-downstream-integration.R",15,18,"stage13_test_path","claim_readiness","tables","WGCNA_entity_claim_readiness.csv","stage13_test_path( ""results"", ""tables"", ""06_modules_WGCNA"", ""claim_readiness"", ""microglia"", ""WGCNA_entity_claim_readiness.csv"" )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'stage13_test_path', not a literal path_results() call"
"tests/testthat/test-wgcna-stage13-downstream-integration.R",38,41,"stage13_test_path","claim_readiness","tables","WGCNA_entity_claim_readiness.csv","stage13_test_path( ""results"", ""tables"", ""06_modules_WGCNA"", ""claim_readiness"", ""microglia"", ""WGCNA_entity_claim_readiness.csv"" )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'stage13_test_path', not a literal path_results() call"
"analysis/wgcna/audit_microglia_module_claims.R",94,94,"converted_in_batch_3B","group_effects",NA,"all_supermodule_eigengene_group_values.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/audit_microglia_module_claims.R",120,120,"converted_in_batch_3B","group_effects",NA,"<directory>",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/render_microglia_module_figures.R",32,32,"converted_in_batch_3B","group_effects",NA,"all_supermodule_eigengene_group_values.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"analysis/wgcna/render_microglia_module_figures.R",36,36,"converted_in_batch_3B","group_effects",NA,"supermodule_pca_member_loadings.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"audits/publication_hardening/10_manuscript_provenance.R",225,225,"alias","group_effects","tables","<directory>","file.path(TB, ""06_modules_WGCNA/group_effects"")","record",FALSE,FALSE,"PROVENANCE_RECORD","RETAINED_provenance_record","construction spelled as 'alias', not a literal path_results() call"
"audits/publication_hardening/10_manuscript_provenance.R",229,229,"alias","group_effects","tables","<directory>","file.path(TB, ""06_modules_WGCNA/group_effects"")","record",FALSE,FALSE,"PROVENANCE_RECORD","RETAINED_provenance_record","construction spelled as 'alias', not a literal path_results() call"
"R/statistics/wgcna_group_effect_consumer_utils.R",740,742,"file.path","group_effects","tables","<directory>","file.path( ""results"", ""tables"", ""06_modules_WGCNA"", ""group_effects"", dataset, filename )","record",FALSE,FALSE,"PROVENANCE_RECORD","RETAINED_provenance_record","construction spelled as 'file.path', not a literal path_results() call"
"R/statistics/wgcna_identity_contract_utils.R",880,880,"converted_in_batch_3B","group_effects",NA,"module_group_effects.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",888,888,"converted_in_batch_3B","group_effects",NA,"supermodule_group_effects.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"R/statistics/wgcna_identity_contract_utils.R",896,896,"converted_in_batch_3B","group_effects",NA,"supermodule_composition.csv",NA,"read",TRUE,FALSE,"LIVE_READER","CONVERTED_TO_OWNER_HELPER","file or site outside the oracle's 45-file path_results scan set"
"tests/testthat/test-export-dry-run-hygiene.R",87,87,"alias","group_effects","figures","<directory>","file.path(root, f)","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-export-dry-run-hygiene.R",88,88,"alias","group_effects","figures","<directory>","file.path(root, f)","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-export-dry-run-hygiene.R",116,116,"file.path","group_effects","figures","<directory>","file.path(root, ""results"", ""figures"", ""06_modules_WGCNA"", ""group_effects"", ""microglia"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'file.path', not a literal path_results() call"
"tests/testthat/test-export-dry-run-hygiene.R",119,119,"alias","group_effects","figures","top_supermodule_effects_dotplot.svg","file.path(d, ""top_supermodule_effects_dotplot.svg"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-export-dry-run-hygiene.R",120,120,"alias","group_effects","figures","top_supermodule_effects_dotplot_soma.svg","file.path(d, ""top_supermodule_effects_dotplot_soma.svg"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-export-dry-run-hygiene.R",121,121,"alias","group_effects","figures","top_supermodule_effects_dotplot_microglia.pdf","file.path(d, ""top_supermodule_effects_dotplot_microglia.pdf"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-export-dry-run-hygiene.R",122,122,"alias","group_effects","figures","top_supermodule_effects_dotplot.pdf","file.path(d, ""top_supermodule_effects_dotplot.pdf"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-export-dry-run-hygiene.R",123,123,"alias","group_effects","figures","orphan_plot_neuropil.svg","file.path(d, ""orphan_plot_neuropil.svg"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-export-dry-run-hygiene.R",124,124,"alias","group_effects","figures","roi_fingerprint_with_soma.svg","file.path(d, ""roi_fingerprint_with_soma.svg"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-export-dry-run-hygiene.R",238,238,"file.path","group_effects","figures","<directory>","file.path(root, ""results"", ""figures"", ""06_modules_WGCNA"", ""group_effects"", dataset)","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'file.path', not a literal path_results() call"
"tests/testthat/test-export-dry-run-hygiene.R",240,240,"alias","group_effects","figures","<directory>","file.path(d, name)","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'alias', not a literal path_results() call"
"tests/testthat/test-wgcna-circular-atlas-tier-specific-fdr.R",503,506,"path_results","group_effects","tables","WGCNA_group_effect_animal_spatial_unit_values.csv","path_results( ""tables"", ""06_modules_WGCNA"", ""group_effects"", dataset, ""WGCNA_group_effect_animal_spatial_unit_values.csv"" )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","oracle did not scan tests/"
"tests/testthat/test-wgcna-group-effects-contract.R",19,21,"path_results","group_effects","tables","<directory>","path_results( ""tables"", ""06_modules_WGCNA"", ""group_effects"", dataset, filename )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","oracle did not scan tests/"
"tests/testthat/test-wgcna-wave1a-semantic-handoff.R",9,12,"test_path","group_effects","tables","<directory>","testthat::test_path( "".."", "".."", ""results"", ""tables"", ""06_modules_WGCNA"", ""group_effects"", dataset, paste0(level, ""_group_effects.csv"") )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'test_path', not a literal path_results() call"
"tests/testthat/test-wgcna-wave1a-semantic-handoff.R",27,31,"test_path","group_effects","tables","WGCNA_group_effect_interaction_conditional_followup.csv","testthat::test_path( "".."", "".."", ""results"", ""tables"", ""06_modules_WGCNA"", ""group_effects"", dataset, ""WGCNA_group_effect_interaction_conditional_followup.csv"" )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","construction spelled as 'test_path', not a literal path_results() call"
"tests/testthat/test-wgcna-identity-contract.R",11,13,"path_results","identity_contract","tables","<directory>","path_results( ""tables"", ""06_modules_WGCNA"", ""identity_contract"", dataset, filename )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","oracle did not scan tests/"
"tests/testthat/test-wgcna-identity-contract.R",345,347,"path_results","identity_contract","tables","<directory>","path_results( ""tables"", ""06_modules_WGCNA"", ""identity_contract"", dataset )","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","oracle did not scan tests/"
"tests/testthat/test-wgcna-label-activation.R",315,316,"path_results","identity_contract","tables","WGCNA_module_supermodule_membership_contract.csv","path_results(""tables"", ""06_modules_WGCNA"", ""identity_contract"", ds, ""WGCNA_module_supermodule_membership_contract.csv"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","oracle did not scan tests/"
"tests/testthat/test-wgcna-label-adjudication.R",402,403,"path_results","identity_contract","tables","WGCNA_module_supermodule_membership_contract.csv","path_results(""tables"", ""06_modules_WGCNA"", ""identity_contract"", ds, ""WGCNA_module_supermodule_membership_contract.csv"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","oracle did not scan tests/"
"tests/testthat/test-wgcna-label-adjudication.R",570,572,"path_results","identity_contract","tables","WGCNA_module_supermodule_membership_contract.csv","path_results(""tables"", ""06_modules_WGCNA"", ""identity_contract"", ""microglia"", ""WGCNA_module_supermodule_membership_contract.csv"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","oracle did not scan tests/"
"tests/testthat/test-wgcna-network-position-and-label-coherence.R",397,399,"path_results","identity_contract","tables","WGCNA_module_supermodule_membership_contract.csv","path_results( ""tables"", ""06_modules_WGCNA"", ""identity_contract"", ds, ""WGCNA_module_supermodule_membership_contract.csv"")","fixture",FALSE,FALSE,"TEST_FIXTURE","RETAINED_test_fixture","oracle did not scan tests/"
