"producing_analysis","current_path","artifact_type","canonical_or_intermediate","downstream_consumers","n_downstream_consumers","manuscript_consumer","size","tracked","frozen","frozen_beneath","is_directory","exists_on_disk","proposed_path","migration_strategy","path_changes"
"analysis/02_qc/partition_variance.R","results/tables/03_qc_exploration/06_variance_partitioning/<dataset>/","tables","CANONICAL_RESULT","summarize_qc_confounding.R | audit_module_robustness.R | quantify_neuropil_precision.R",3,FALSE,NA,FALSE,FALSE,0,TRUE,FALSE,"results/qc/partition_variance/<dataset>/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/02_qc/export_marker_traits.R","results/tables/03_qc_exploration/06_wgcna_marker_trait_export/<dataset>/","tables","CANONICAL_RESULT","test_microglia_neuropil_independence.R | summarize_microglia_roi_specificity.R | quantify_neuropil_precision.R",3,FALSE,NA,FALSE,FALSE,0,TRUE,FALSE,"results/qc/export_marker_traits/<dataset>/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/02_qc/build_reference_marker_registry.R","results/tables/03_qc_exploration/reference_marker_import/","tables","CANONICAL_RESULT","quantify_neuropil_precision.R",1,FALSE,25617732,FALSE,FALSE,0,TRUE,TRUE,"results/qc/build_reference_marker_registry/global/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/audit_gsea_protein_direction.R","results/tables/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/gsea_contrast_direction_summary.csv","tables","CANONICAL_RESULT","build_biological_claims_table.R",1,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/gsea_contrast_direction_summary.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/audit_gsea_protein_direction.R","results/tables/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/gsea_term_direction_audit.csv","tables","CANONICAL_RESULT","build_biological_claims_table.R",1,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/gsea_term_direction_audit.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/audit_gsea_protein_direction.R","results/tables/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/input_status.csv","tables","CANONICAL_RESULT","build_biological_claims_table.R",1,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/input_status.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/audit_gsea_protein_direction.R","results/tables/04_differential_expression_enrichment/01b_gsea_protein_direction_audit/<dataset>/<ontology>/ora_pooled_direction_warning.csv","tables","CANONICAL_RESULT","build_biological_claims_table.R",1,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/differential_abundance/audit_gsea_protein_direction/<dataset>/tables/<ontology>/ora_pooled_direction_warning.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/summarize_biological_programs.R","results/tables/04_differential_expression_enrichment/biological_program_summary/<dataset>/program_summary.csv","tables","CANONICAL_RESULT","build_go_program_atlas.R | compare_external_stress_signatures.R | compare_module_enrichment_overlap.R | build_cross_compartment_atlas.R | build_biological_claims_table.R",5,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/differential_abundance/summarize_biological_programs/<dataset>/tables/program_summary.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/compare_go_enrichment.R","results/tables/04_differential_expression_enrichment/compareGO/<dataset>/","tables","CANONICAL_RESULT","compare_recurrent_module_proteins.R | build_curated_overlap_programs.R | build_biological_claims_table.R",3,FALSE,NA,FALSE,FALSE,0,TRUE,FALSE,"results/differential_abundance/compare_go_enrichment/<dataset>/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/compare_recurrent_module_proteins.R","results/tables/04_differential_expression_enrichment/compareGO/<dataset>/recurrent_top_gene_drivers/overlapping_proteins_min3_spatial_units.xlsx","tables","CANONICAL_RESULT","build_curated_overlap_programs.R | build_biological_claims_table.R",2,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/wgcna/compare_recurrent_module_proteins/<dataset>/tables/recurrent_top_gene_drivers/overlapping_proteins_min3_spatial_units.xlsx","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/build_go_program_atlas.R","results/tables/04_differential_expression_enrichment/compareGO_spatial_atlas/compareGO_spatial_program_atlas_tables.xlsx","tables","CANONICAL_RESULT","build_biological_claims_table.R",1,FALSE,1555545,FALSE,FALSE,0,FALSE,TRUE,"results/differential_abundance/build_go_program_atlas/<dataset>/tables/compareGO_spatial_program_atlas_tables.xlsx","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/build_go_program_atlas.R","results/tables/04_differential_expression_enrichment/compareGO_spatial_atlas/spatial_program_summary.csv","tables","CANONICAL_RESULT","build_cross_compartment_atlas.R | build_biological_claims_table.R",2,FALSE,5546113,FALSE,FALSE,0,FALSE,TRUE,"results/differential_abundance/build_go_program_atlas/<dataset>/tables/spatial_program_summary.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/build_go_program_atlas.R","results/tables/04_differential_expression_enrichment/compareGO_spatial_atlas/sus_res_manuscript_theme_summary.csv","tables","CANONICAL_RESULT","build_biological_claims_table.R",1,FALSE,350754,FALSE,FALSE,0,FALSE,TRUE,"results/differential_abundance/build_go_program_atlas/<dataset>/tables/sus_res_manuscript_theme_summary.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/validate_control_spatial_identity.R","results/tables/04_differential_expression_enrichment/control_spatial_identity_validation/global/","tables","CANONICAL_RESULT","build_biological_claims_table.R",1,FALSE,78243132,FALSE,FALSE,0,TRUE,TRUE,"results/differential_abundance/validate_control_spatial_identity/global/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/compare_external_stress_signatures.R","results/tables/04_differential_expression_enrichment/external_stress_disease_signature_overlap/global/external_stress_disease_signature_overlap.csv","tables","CANONICAL_RESULT","build_cross_compartment_atlas.R | build_biological_claims_table.R",2,FALSE,539,FALSE,FALSE,0,FALSE,TRUE,"results/differential_abundance/compare_external_stress_signatures/global/tables/external_stress_disease_signature_overlap.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/test_microglia_targeted_signatures.R","results/tables/04_differential_expression_enrichment/microglia_targeted_signature_enrichment/microglia/","tables","CANONICAL_RESULT","summarize_biological_programs.R | build_biological_claims_table.R",2,FALSE,25147032,FALSE,FALSE,0,TRUE,TRUE,"results/differential_abundance/test_microglia_targeted_signatures/<dataset>/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/annotate_neuropil_reference.R","results/tables/04_differential_expression_enrichment/neuropil_reference_annotation/<dataset>/","tables","CANONICAL_RESULT","summarize_biological_programs.R | annotate_module_microenvironment.R | build_biological_claims_table.R",3,FALSE,NA,FALSE,FALSE,0,TRUE,FALSE,"results/differential_abundance/annotate_neuropil_reference/<dataset>/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/audit_stress_response_biology.R","results/tables/04_differential_expression_enrichment/stress_response_biological_audit/global/","tables","CANONICAL_RESULT","build_biological_claims_table.R",1,FALSE,687974,FALSE,FALSE,0,TRUE,TRUE,"results/differential_abundance/audit_stress_response_biology/global/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/build_sus_res_dap_atlas.R","results/tables/04_differential_expression_enrichment/sus_res_spatial_dap_atlas/global/","tables","CANONICAL_RESULT","quantify_neuropil_detection_context.R | build_biological_claims_table.R",2,FALSE,899530,FALSE,FALSE,0,TRUE,TRUE,"results/differential_abundance/build_sus_res_dap_atlas/global/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/04_differential_abundance/build_sus_res_dap_atlas.R","results/tables/04_differential_expression_enrichment/sus_res_spatial_dap_atlas/global/sus_res_manuscript_theme_summary.csv","tables","CANONICAL_RESULT","build_biological_claims_table.R",1,FALSE,314795,FALSE,FALSE,0,FALSE,TRUE,"results/differential_abundance/build_sus_res_dap_atlas/global/tables/sus_res_manuscript_theme_summary.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/06_gsea/run_ewce_celltype_enrichment.R","results/tables/05_celltype_enrichment_EWCE/EWCE_E9/","tables","CANONICAL_RESULT","",0,FALSE,32732830,FALSE,FALSE,0,TRUE,TRUE,"results/enrichment/run_ewce_celltype_enrichment/<dataset>/tables/","REPOINT_WRITER_ONLY",TRUE
"analysis/05_wgcna/build_wgcna_modules.R","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/","tables","CANONICAL_RESULT","summarize_marker_detectability.R | render_module_go_heatmaps.R | score_module_activity.R | compare_module_enrichment_overlap.R | build_module_identity_contract.R | annotate_module_microenvironment.R | summarize_module_interpretation.R | render_module_figures.R | render_microglia_module_figures.R | test_microglia_neuropil_independence.R | summarize_microglia_roi_specificity.R | summarize_module_complex_architecture.R | audit_module_robustness.R | audit_module_claim_readiness.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_spatial_networks.R | quantify_bilateral_spatial_identity.R | annotate_module_celltypes.R | build_module_spatial_atlas.R | build_biological_claims_table.R | test_enrichment_module_concordance.R | summarize_enrichment_module_concordance.R | build_candidate_protein_shortlist.R | quantify_candidate_network_position.R | render_module_circular_atlas.R | summarize_module_cross_compartment.R | export_module_protein_zoom_source_data.R",28,FALSE,NA,FALSE,FALSE,0,TRUE,FALSE,"results/wgcna/build_wgcna_modules/<dataset>/tables/modules","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/build_wgcna_modules.R","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/supermodule_clustering_sensitivity.csv","tables","CANONICAL_RESULT","summarize_marker_detectability.R | render_module_go_heatmaps.R | score_module_activity.R | compare_module_enrichment_overlap.R | build_module_identity_contract.R | annotate_module_microenvironment.R | summarize_module_interpretation.R | render_module_figures.R | render_microglia_module_figures.R | test_microglia_neuropil_independence.R | summarize_microglia_roi_specificity.R | summarize_module_complex_architecture.R | audit_module_robustness.R | audit_module_claim_readiness.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_spatial_networks.R | quantify_bilateral_spatial_identity.R | annotate_module_celltypes.R | build_module_spatial_atlas.R | build_biological_claims_table.R | test_enrichment_module_concordance.R | summarize_enrichment_module_concordance.R | build_candidate_protein_shortlist.R | quantify_candidate_network_position.R | render_module_circular_atlas.R | summarize_module_cross_compartment.R | export_module_protein_zoom_source_data.R",28,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/supermodule_clustering_sensitivity.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/build_wgcna_modules.R","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_module_supermodule_annotation.csv","tables","CANONICAL_RESULT","summarize_marker_detectability.R | render_module_go_heatmaps.R | score_module_activity.R | compare_module_enrichment_overlap.R | build_module_identity_contract.R | annotate_module_microenvironment.R | summarize_module_interpretation.R | render_module_figures.R | render_microglia_module_figures.R | test_microglia_neuropil_independence.R | summarize_microglia_roi_specificity.R | summarize_module_complex_architecture.R | audit_module_robustness.R | audit_module_claim_readiness.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_spatial_networks.R | quantify_bilateral_spatial_identity.R | annotate_module_celltypes.R | build_module_spatial_atlas.R | build_biological_claims_table.R | test_enrichment_module_concordance.R | summarize_enrichment_module_concordance.R | build_candidate_protein_shortlist.R | quantify_candidate_network_position.R | render_module_circular_atlas.R | summarize_module_cross_compartment.R | export_module_protein_zoom_source_data.R",28,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_module_supermodule_annotation.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/build_wgcna_modules.R","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_supermodule_biological_coherence.csv","tables","CANONICAL_RESULT","summarize_marker_detectability.R | render_module_go_heatmaps.R | score_module_activity.R | compare_module_enrichment_overlap.R | build_module_identity_contract.R | annotate_module_microenvironment.R | summarize_module_interpretation.R | render_module_figures.R | render_microglia_module_figures.R | test_microglia_neuropil_independence.R | summarize_microglia_roi_specificity.R | summarize_module_complex_architecture.R | audit_module_robustness.R | audit_module_claim_readiness.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_spatial_networks.R | quantify_bilateral_spatial_identity.R | annotate_module_celltypes.R | build_module_spatial_atlas.R | build_biological_claims_table.R | test_enrichment_module_concordance.R | summarize_enrichment_module_concordance.R | build_candidate_protein_shortlist.R | quantify_candidate_network_position.R | render_module_circular_atlas.R | summarize_module_cross_compartment.R | export_module_protein_zoom_source_data.R",28,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_biological_coherence.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/build_wgcna_modules.R","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_supermodule_GO_term_support_audit.csv","tables","CANONICAL_RESULT","summarize_marker_detectability.R | render_module_go_heatmaps.R | score_module_activity.R | compare_module_enrichment_overlap.R | build_module_identity_contract.R | annotate_module_microenvironment.R | summarize_module_interpretation.R | render_module_figures.R | render_microglia_module_figures.R | test_microglia_neuropil_independence.R | summarize_microglia_roi_specificity.R | summarize_module_complex_architecture.R | audit_module_robustness.R | audit_module_claim_readiness.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_spatial_networks.R | quantify_bilateral_spatial_identity.R | annotate_module_celltypes.R | build_module_spatial_atlas.R | build_biological_claims_table.R | test_enrichment_module_concordance.R | summarize_enrichment_module_concordance.R | build_candidate_protein_shortlist.R | quantify_candidate_network_position.R | render_module_circular_atlas.R | summarize_module_cross_compartment.R | export_module_protein_zoom_source_data.R",28,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_GO_term_support_audit.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/build_wgcna_modules.R","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_supermodule_summary.csv","tables","CANONICAL_RESULT","summarize_marker_detectability.R | render_module_go_heatmaps.R | score_module_activity.R | compare_module_enrichment_overlap.R | build_module_identity_contract.R | annotate_module_microenvironment.R | summarize_module_interpretation.R | render_module_figures.R | render_microglia_module_figures.R | test_microglia_neuropil_independence.R | summarize_microglia_roi_specificity.R | summarize_module_complex_architecture.R | audit_module_robustness.R | audit_module_claim_readiness.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_spatial_networks.R | quantify_bilateral_spatial_identity.R | annotate_module_celltypes.R | build_module_spatial_atlas.R | build_biological_claims_table.R | test_enrichment_module_concordance.R | summarize_enrichment_module_concordance.R | build_candidate_protein_shortlist.R | quantify_candidate_network_position.R | render_module_circular_atlas.R | summarize_module_cross_compartment.R | export_module_protein_zoom_source_data.R",28,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_summary.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/build_wgcna_modules.R","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_supermodule_validation_summary.csv","tables","CANONICAL_RESULT","summarize_marker_detectability.R | render_module_go_heatmaps.R | score_module_activity.R | compare_module_enrichment_overlap.R | build_module_identity_contract.R | annotate_module_microenvironment.R | summarize_module_interpretation.R | render_module_figures.R | render_microglia_module_figures.R | test_microglia_neuropil_independence.R | summarize_microglia_roi_specificity.R | summarize_module_complex_architecture.R | audit_module_robustness.R | audit_module_claim_readiness.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_spatial_networks.R | quantify_bilateral_spatial_identity.R | annotate_module_celltypes.R | build_module_spatial_atlas.R | build_biological_claims_table.R | test_enrichment_module_concordance.R | summarize_enrichment_module_concordance.R | build_candidate_protein_shortlist.R | quantify_candidate_network_position.R | render_module_circular_atlas.R | summarize_module_cross_compartment.R | export_module_protein_zoom_source_data.R",28,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_validation_summary.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/render_module_go_heatmaps.R","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/<dataset>/","tables","CANONICAL_RESULT","build_biological_claims_table.R | render_module_circular_atlas.R | export_module_protein_zoom_source_data.R",3,FALSE,NA,FALSE,FALSE,0,TRUE,FALSE,"results/wgcna/render_module_go_heatmaps/<dataset>/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/compare_module_enrichment_overlap.R","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap/<dataset>/","tables","CANONICAL_RESULT","summarize_module_interpretation.R | build_biological_claims_table.R | render_module_circular_atlas.R",3,FALSE,NA,FALSE,FALSE,0,TRUE,FALSE,"results/wgcna/compare_module_enrichment_overlap/<dataset>/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/audit_module_claim_readiness.R","results/tables/06_modules_WGCNA/claim_readiness/microglia/WGCNA_entity_claim_readiness.csv","tables","CANONICAL_RESULT","build_module_identity_contract.R | build_cross_compartment_atlas.R | build_biological_claims_table.R | build_evidence_priority_matrix.R | test_enrichment_module_concordance.R | render_module_circular_atlas.R | summarize_module_cross_compartment.R",7,FALSE,30451,FALSE,FALSE,0,FALSE,TRUE,"results/wgcna/audit_module_claim_readiness/<dataset>/tables/WGCNA_entity_claim_readiness.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/build_curated_overlap_programs.R","results/tables/06_modules_WGCNA/curated_overlap_programs/global/","tables","CANONICAL_RESULT","build_biological_claims_table.R | render_module_circular_atlas.R",2,FALSE,618596,FALSE,FALSE,0,TRUE,TRUE,"results/wgcna/build_curated_overlap_programs/global/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/build_module_identity_contract.R","results/tables/06_modules_WGCNA/identity_contract/<dataset>/","tables","CANONICAL_RESULT","test_module_phenotypes.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_module_label_registry.R | build_biological_claims_table.R | render_module_circular_atlas.R",6,FALSE,NA,FALSE,FALSE,0,TRUE,FALSE,"results/wgcna/build_module_identity_contract/<dataset>/tables/","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/summarize_module_interpretation.R","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_final_label_lookup.csv","tables","CANONICAL_RESULT","build_module_identity_contract.R | render_module_figures.R | summarize_module_scores.R | render_microglia_module_figures.R | test_microglia_neuropil_independence.R | audit_module_robustness.R | audit_module_claim_readiness.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_module_label_registry.R | test_module_behaviour_coupling.R | build_cross_compartment_atlas.R | build_biological_claims_table.R | build_evidence_priority_matrix.R | test_enrichment_module_concordance.R | summarize_enrichment_module_concordance.R | build_candidate_protein_shortlist.R | render_module_circular_atlas.R | summarize_module_cross_compartment.R",19,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_final_label_lookup.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/summarize_module_interpretation.R","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_inferential_handoff.csv","tables","CANONICAL_RESULT","build_module_identity_contract.R | render_module_figures.R | summarize_module_scores.R | render_microglia_module_figures.R | test_microglia_neuropil_independence.R | audit_module_robustness.R | audit_module_claim_readiness.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_module_label_registry.R | test_module_behaviour_coupling.R | build_cross_compartment_atlas.R | build_biological_claims_table.R | build_evidence_priority_matrix.R | test_enrichment_module_concordance.R | summarize_enrichment_module_concordance.R | build_candidate_protein_shortlist.R | render_module_circular_atlas.R | summarize_module_cross_compartment.R",19,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_inferential_handoff.csv","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
"analysis/05_wgcna/summarize_module_interpretation.R","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_interpretable_summary.xlsx","tables","CANONICAL_RESULT","build_module_identity_contract.R | render_module_figures.R | summarize_module_scores.R | render_microglia_module_figures.R | test_microglia_neuropil_independence.R | audit_module_robustness.R | audit_module_claim_readiness.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_module_label_registry.R | test_module_behaviour_coupling.R | build_cross_compartment_atlas.R | build_biological_claims_table.R | build_evidence_priority_matrix.R | test_enrichment_module_concordance.R | summarize_enrichment_module_concordance.R | build_candidate_protein_shortlist.R | render_module_circular_atlas.R | summarize_module_cross_compartment.R",19,FALSE,NA,FALSE,FALSE,0,FALSE,FALSE,"results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_interpretable_summary.xlsx","REPOINT_WRITER_LEGACY_READ_FALLBACK",TRUE
