"artifact_family","consumer_file","line","artifact","scope","classification","why"
"01_WGCNA","analysis/wgcna/audit_module_label_coherence.R",81,"supermodules/wgcna_supermodule_biological_coherence.csv","<dataset>","LIVE_READER","structural_path(). Note lines 75-79 deliberately route supermodule membership to the identity_contract family instead, per docs/OUTPUT_CONTRACTS.md."
"01_WGCNA","analysis/wgcna/audit_module_robustness.R",131,"modules/WGCNA_module_preservation_summary.csv","<dataset>","LIVE_READER","make_dataset() inputs$preservation. The two QC siblings on lines 132-137 already use qc_find(); this one is the only un-resolved input in the list, and the writer side is already wgcna_dirs()."
"01_WGCNA","analysis/wgcna/build_wgcna_modules.R",455,"data/processed/06_modules_WGCNA/01_WGCNA/<ds>/inputs/wgcna_expression.xlsx and inputs/wgcna_sample_info.xlsx","<dataset_profile>","LIVE_READER","current_staged_input_paths(); the producer reads and file_hash()es its own staged inputs for cached-state freshness (check_wgcna_cached_state_freshness, line 460). Duplicated at lines 84-85 (early dry run) and 1567-1568 (defaults). Phase 6G.8 moved this writer's OUTPUTS to results/wgcna/build_wgcna_modules/<ds>/ (subdirs map, lines 363-380, state = canonical_paths$models) but left this inputs/ staging area under the historical processed root, so data/processed/.../01_WGCNA/<ds>/inputs is a live work area, not a historical leftover."
"01_WGCNA","analysis/wgcna/compare_module_enrichment_overlap.R",132,"modules/ (directory) -> WGCNA_module_definitions_for_downstream.csv, WGCNA_feature_universe.csv, WGCNA_module_priority_summary.csv","<dataset>","LIVE_READER","local variable wgcna_modules_dir, then three file.path() joins on lines 133-135. The writer side on line 127 is already wgcna_dirs('compare_module_enrichment_overlap', dataset)."
"01_WGCNA","analysis/wgcna/render_module_go_heatmaps.R",50,"modules/ (directory) -> WGCNA_module_GO_enrichment_long.csv, module_name_map.csv","<DATASET>","LIVE_READER","MODULES_DIR; pipeline.yml:390 declares both files consumes_required. Writer side on line 49 is already wgcna_dirs()."
"01_WGCNA","analysis/wgcna/render_module_go_heatmaps.R",51,"supermodules/ (directory) -> wgcna_module_supermodule_annotation.csv for microglia, wgcna_supermodule_eigengene_clusters.csv otherwise","<DATASET>","LIVE_READER","SUPERMODULES_DIR; the filename branches on DATASET == 'microglia' at line 56, so this read is dataset-conditional on which supermodule object is authoritative."
"01_WGCNA","analysis/wgcna/score_module_activity.R",140,"data/processed/.../01_WGCNA/<ds>/wgcna_final_model_state.rds (expected) and results/source_data/.../01_WGCNA/<ds>/wgcna_final_model_state.rds (fallback, line 142)","<dataset_profile>","LIVE_READER","resolve_wgcna_state_file() via resolve_input_path with PROTEOMICS_WGCNA_STATE_FILE override. Two different legacy families (processed and source_data) for the same object."
"01_WGCNA","analysis/wgcna/score_module_activity.R",155,"supermodules/wgcna_module_supermodule_annotation.csv (expected) and the results/source_data sibling (fallback, line 157)","<dataset_profile>","LIVE_READER","resolve_supermodule_annotation_file(); the authoritative supermodule annotation for module scoring."
"01_WGCNA","analysis/wgcna/score_module_activity.R",189,"modules/WGCNA_module_definitions_for_downstream.csv (expected); fallbacks modules/WGCNA_modules_long.xlsx (192), 01_WGCNA/modules/WGCNA_modules_long.xlsx (193, UNSCOPED), 01_WGCNA/WGCNA_modules_long.xlsx (194, UNSCOPED); latest_roots 01_WGCNA/<ds> with latest_pattern (196)","<dataset_profile>, but two fallbacks omit the dataset segment entirely","LIVE_READER","resolve_module_definitions_file(source = 'wgcna'), required = TRUE. resolve_input_path (R/paths.R:397-470) tries explicit -> expected -> first existing fallback -> newest file matching latest_pattern under latest_roots with recursive = TRUE."
"01_WGCNA","analysis/wgcna/score_module_activity.R",269,"modules/WGCNA_module_definitions_for_downstream.csv","<dataset_profile>","LIVE_READER","dry-run 'Producer artifact exists' probe; independently rebuilds the historical path instead of reusing the resolved one, so a normalized run would print WARN."
"01_WGCNA","audits/part29/wgcna_registry_final_review.R",71,"modules/WGCNA_module_GO_enrichment_long.csv and modules/WGCNA_module_summary.csv","all three datasets (read_ds looped over DATASETS)","PROVENANCE_ORACLE","read_ds() with stop('missing canonical table: ') on absence; the Part-29 one-off review re-derives the recorded label-registry evidence from the historical tables and hard-codes the provenance string at line 438. A frozen point-in-time verification script, not a pipeline stage."
"01_WGCNA","R/statistics/wgcna_downstream_utils.R",886,"state = data/processed/.../wgcna_final_model_state.rds (886), modules/WGCNA_module_definitions_for_downstream.csv (887), modules/WGCNA_module_summary.csv (888), modules/WGCNA_module_GO_enrichment_long.csv (889), supermodules/wgcna_module_supermodule_annotation.csv (890), supermodules/wgcna_supermodule_summary.csv (891)","<dataset>","LIVE_READER","resolve_wgcna_files(): the single highest-value chokepoint for this family. Eleven call sites in nine scripts: test_microglia_neuropil_independence.R:37,38; summarize_module_interpretation.R:1403; summarize_module_complex_architecture.R:31; summarize_microglia_roi_specificity.R:57,58,59; render_module_figures.R:34; render_microglia_module_figures.R:27; audit_module_claim_readiness.R:31; annotate_module_microenvironment.R:69. Note marker_traits on line 892 already uses qc_find(), so the pattern for migrating the rest is in the same list literal."
"01_WGCNA","R/statistics/wgcna_identity_contract_utils.R",105,"stage01_tables = 01_WGCNA/<ds> (105) and stage01_logs = results/logs/.../01_WGCNA/<ds> (106); resolves frozen_state (109), modules/WGCNA_module_definitions_for_downstream.csv, supermodules/wgcna_module_supermodule_annotation.csv, supermodules/wgcna_supermodule_summary.csv, supermodules/wgcna_supermodule_eigengene_clusters.csv, supermodules/supermodule_clustering_sensitivity.csv, modules/WGCNA_parameter_audit.csv, logs/run_manifest.yml, logs/wgcna_run_manifest.yml, logs/output_manifest.csv, logs/analysis_parameters.csv","<dataset>","LIVE_READER","wgcna_identity_source_paths() (lines 103-133), called at line 1278. The identity contract is declared the sole supermodule-membership authority, and it derives that authority from eleven objects in this family across three of its roots (tables, logs, processed)."
"01_WGCNA","R/statistics/wgcna_identity_contract_utils.R",848,"supermodules/wgcna_supermodule_eigengene_clusters.csv (848), supermodules/wgcna_module_supermodule_annotation.csv (856), supermodules/wgcna_supermodule_summary.csv (868)","<dataset>","LIVE_READER","wgcna_identity_downstream_specs() (line 842), called at line 985. Each row carries source_system_status = 'current_membership_system' when dataset == 'microglia' and 'historical_membership_system' otherwise, so the same three paths mean different things per dataset."
"01_WGCNA","tests/testthat/test-source-data-journal-scope.R",251,"01_WGCNA/microglia/supermodules/wgcna_module_supermodule_annotation.csv","microglia","TEST_FIXTURE","fx$touch() inside a temp fixture; pins that this historical path is in scope for manuscript source-data export. No real repo file is read."
"01_WGCNA","tests/testthat/test-spatial-cell-atlas.R",322,"the literal token 01_WGCNA in write sites of three spatial_validation producers","all","PROVENANCE_ORACLE","expect_false(any(grepl('01_WGCNA|modules/WGCNA_modules_long', writes))): asserts no atlas producer ever WRITES into this family. A source-text scan asserting a path is not modified, not a data read."
"01_WGCNA","tests/testthat/test-wgcna-claim-readiness.R",232,"data/processed/.../01_WGCNA/microglia/wgcna_final_model_state.rds","microglia","PROVENANCE_ORACLE","readRDS on the real frozen state and expect_equal(state$parameters$supermodule_merge_cut_height, 0.40) while the configured default for microglia is 0.45 (asserted three lines earlier). This test is the proof that the canonical microglia state was built with a non-default cut height."
"01_WGCNA","tests/testthat/test-wgcna-claim-readiness.R",270,"data/processed/.../01_WGCNA/microglia/wgcna_final_model_state.rds and results/tables/.../01_WGCNA/microglia/supermodules/wgcna_module_supermodule_annotation.csv","microglia","PROVENANCE_ORACLE","targets vector matched against protected_output_hash_audit.csv$protected_path, then md5sum(file.path(root, targets)) compared to md5_after with expect_true(all(rows$unchanged)). Immutability proof keyed on the exact historical relative path string."
"01_WGCNA","tests/testthat/test-wgcna-group-effects-contract.R",13,"data/processed/.../01_WGCNA/<dataset>/wgcna_final_model_state.rds","neuron_soma, neuron_neuropil, microglia","TEST_FIXTURE","group_state_path() helper; pins the historical state path as the Stage-05 contract input for all three datasets."
"01_WGCNA","tests/testthat/test-wgcna-group-effects-phase2b.R",789,"data/processed/.../01_WGCNA/microglia/wgcna_final_model_state.rds","microglia","TEST_FIXTURE","Passed into wgcna_group_stage05_source_dependencies() and asserted to appear by basename in the dependency set; also line 819 in the basename expectation list."
"01_WGCNA","tests/testthat/test-wgcna-reviewed-label-registry.R",13,"01_WGCNA/microglia/supermodules/wgcna_module_supermodule_annotation.csv","microglia","TEST_FIXTURE","member_map_path via testthat::test_path('..','..',...); reads the real repo artifact to validate config/wgcna_labels/microglia.csv against actual supermodule membership (22 rows, 13 module + 9 supermodule). Pins the historical path with no resolver."
"01_WGCNA","tests/testthat/test-wgcna-reviewed-label-registry.R",17,"01_WGCNA/microglia/supermodules/wgcna_supermodule_summary.csv","microglia","TEST_FIXTURE","summary_path, same hard-coded test_path shape."
"01_WGCNA","tests/testthat/test-wgcna-stage13-downstream-integration.R",298,"data/processed/.../01_WGCNA/neuron_soma/wgcna_final_model_state.rds (298) and .../neuron_neuropil/wgcna_final_model_state.rds (299)","neuron_soma, neuron_neuropil","PROVENANCE_ORACLE","sha256 pinned to literals e218b20c...3292 and 0fca92a6...c0de. The strongest immutability assertion on the family; the paths are load-bearing identity, not convenience."
"01b_module_supermodule_GO_heatmaps","analysis/integration/export_module_protein_zoom_source_data.R",46,"results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_module_GO_heatmap_source_BP.csv","neuron_neuropil","LIVE_READER","--dry-run input contract probe (lines 30-58): dry_inputs$module_go is built at lines 45-48 with the same historical path and file.exists() is tested at line 55 to emit PASS/WARN. Same artifact as line 466; it must be repointed in lockstep or the dry run reports PASS/WARN against a location the real read no longer uses."
"01b_module_supermodule_GO_heatmaps","analysis/integration/export_module_protein_zoom_source_data.R",466,"results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_module_GO_heatmap_source_BP.csv","neuron_neuropil","LIVE_READER","Hard read. Line 466 builds the path with path_results(""tables"",""06_modules_WGCNA"",""01b_module_supermodule_GO_heatmaps"", dataset, ""WGCNA_module_GO_heatmap_source_BP.csv""); line 467 passes it to read_required(go_path, ""canonical module GO source""), which stop()s if absent (definition at lines 71-74), then filters ModuleID %in% c(WGCNA_m01, WGCNA_m02, WGCNA_m12) & Significant and slice_head(n = 3) per module. The result is written out as figure3c_selected_module_go_source.csv and figure3d_selected_module_go_source.csv (lines 469-470) - published manuscript Figure 3 source data. dataset is hardcoded ""neuron_neuropil"" at line 26."
"01b_module_supermodule_GO_heatmaps","analysis/integration/export_module_protein_zoom_source_data.R",514,"results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_supermodule_GO_focused_source_BP.csv","neuron_neuropil","PROVENANCE_ORACLE","Not a read - verified: grep for focused_go_path shows exactly two occurrences (514 definition, 517 use) and no file.exists or read_required on it. The string is published verbatim into the upstream_source column of manuscript_panel_inventory.csv (line 517, panel 3c, ""member-module GO support""), i.e. it is the citation of record for where panel 3c came from. Repointing it changes what the manuscript inventory claims; leaving it historical while the writer moves makes the inventory cite a path the producer no longer writes."
"01b_module_supermodule_GO_heatmaps","analysis/wgcna/render_module_go_heatmaps.R",75,"results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/<dataset>/WGCNA_supermodule_GO_focused_source_<ontology>.csv","neuron_neuropil, neuron_soma, microglia","LIVE_READER","--dry-run existence precheck for the combined branch (lines 66-87): combined_inputs is assembled from focused_dataset_table_file() and file.exists() gates the exit status at line 86, quit(status = if (all(file.exists(combined_inputs))) 0L else 1L). Historical-rooted, so CI dry-run pass/fail is currently keyed to the pre-migration location."
"01b_module_supermodule_GO_heatmaps","analysis/wgcna/render_module_go_heatmaps.R",76,"results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/<dataset>/WGCNA_supermodule_GO_focused_selected_terms_<ontology>.csv","neuron_neuropil, neuron_soma, microglia","LIVE_READER","Second artifact in the same dry-run existence gate at lines 75-86."
"01b_module_supermodule_GO_heatmaps","analysis/wgcna/render_module_go_heatmaps.R",186,"results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/<dataset>/WGCNA_supermodule_GO_focused_source_<ontology>.csv","neuron_neuropil, neuron_soma, microglia (loop over FOCUSED_DATASETS = wgcna_focused_dataset_order(), R/statistics/wgcna_go_comparison_utils.R:476-478)","LIVE_READER","The owner's own --dataset all compositor reads its per-dataset outputs back from the HISTORICAL root. The path comes from focused_dataset_table_file() (lines 59-64), which still calls path_results(""tables"",""06_modules_WGCNA"",""01b_module_supermodule_GO_heatmaps"", dataset, ...). The read is hard: lines 191-194 call read_required(source_files[[dataset]], ...). git diff shows the Phase 6G.8 edit changed only line 49 (PATHS) and added the source() at line 20 - focused_dataset_table_file was not repointed, so this reader now targets pre-migration files while the writer (lines 603-605, via PATHS$tables) writes to the normalized tree."
"01b_module_supermodule_GO_heatmaps","analysis/wgcna/render_module_go_heatmaps.R",189,"results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/<dataset>/WGCNA_supermodule_GO_focused_selected_terms_<ontology>.csv","neuron_neuropil, neuron_soma, microglia","LIVE_READER","Same combined branch, second required input. Hard read at lines 195-198, read_required(selection_files[[dataset]], ...). Lines 199-207 then assert every row's selection_basis contains the expected max_<n>_per_supermodule token, so a parameter mismatch is caught - but a same-parameter stale file is not."
"04_wgcna_de_gsea_overlap","analysis/integration/test_enrichment_module_concordance.R",90,"WGCNA_vs_DE_GSEA_overlap.csv","microglia only (hardcoded at line 90)","PROVENANCE_ORACLE","microglia_inputs$legacy_overlap (lines 89-92) is put into optional_inputs (line 115) and from there into protected_sources (lines 160-163) -> hash_before <- source_hashes(...) (line 164, tools::md5sum). hash_after is recomputed at line 783 and line 793-796 stop()s if any protected source changed, i.e. this is an explicit immutability assertion over the path. The content is md5-hashed but never parsed; lines 656-657, 877-881 and 1113 record it as ""context only; not used for matching, classification or FDR"", with the normalizePath'd path written as the audit row's source_file (line 880). No result value is derived from the bytes."
"04_wgcna_de_gsea_overlap","analysis/publication_source_data/build_biological_claims_table.R",1742,"WGCNA_vs_DE_GSEA_overlap.csv","neuron_neuropil, neuron_soma, microglia (called as lapply(valid_datasets(), collect_overlap_claims) at line 2160)","LIVE_READER","collect_overlap_claims() (line 1739) resolves the path with resolve_input_path(required = TRUE, producer_script_or_artifact_id = ""analysis/wgcna/compare_module_enrichment_overlap.R"") and parses the content with read_csv_if_exists(f) (line 1747). Rows become claim_type = ""wgcna_convergent_overlap"" / evidence_type = ""WGCNA_DE_GSEA_overlap"" with raw_p = fisher_p, FDR = fisher_fdr, effect_size_NES = jaccard_DE, key_proteins_genes = top_overlap_proteins (lines 1818-1848). This is the only hard-required read of the family."
"04_wgcna_de_gsea_overlap","analysis/wgcna/build_wgcna_modules.R",4385,"WGCNA_vs_DE_GSEA_overlap.csv","dataset_profile (the dataset the module build is running for)","LIVE_READER","gsea_overlap_file is built at 4385, then line 4386-4393 does readr::read_csv(gsea_overlap_file) |> select(any_of(c(""dataset"",""ModuleID"",...,""fisher_fdr"",""top_overlap_proteins""))) under a file.exists() guard, else writes a status = ""skipped"" placeholder frame. Result is written to WGCNA_module_GSEA_coregene_overlap.csv (line 4401). Note this is a reverse-direction read: the producer consumes build_wgcna_modules' own 01_WGCNA/<dataset>/modules/ (pipeline.yml:445), so build_wgcna_modules always reads the PREVIOUS overlap run."
"04_wgcna_de_gsea_overlap","analysis/wgcna/summarize_module_interpretation.R",1401,"WGCNA_vs_DE_GSEA_overlap.csv","per-dataset ds inside make_dataset_summary(ds) (line 1380); pipeline.yml:492 declares it consumes_optional for neuron_neuropil, neuron_soma, microglia","LIVE_READER","overlap <- safe_read_csv(...) (R/statistics/wgcna_downstream_utils.R:200). Content is consumed at lines 1945-1952: grouped by ModuleID into best_wgcna_de_gsea_overlap and left-joined into module_join, which feeds WGCNA_interpretable_summary.xlsx / WGCNA_label_candidates.csv. That derived column is then claim-facing: R/statistics/evidence_bundle_utils.R:234 sets wgcna_claim_semantic_status = ""convergent"" for microglia whenever best_wgcna_de_gsea_overlap is non-NA."
"04_wgcna_de_gsea_overlap","analysis/wgcna/summarize_module_interpretation.R",2212,"WGCNA_vs_DE_GSEA_overlap.csv (path string only)","per-dataset ds","PROVENANCE_ORACLE","de_gsea_overlap = path_results(...) inside the inputs = list(...) argument of write_run_manifest() (line 2201). The path is recorded verbatim into results/.../run_manifest.yml as declared provenance; the file is not opened here. Must be repointed together with line 1401 or the manifest will name a location different from the one actually read."
"curated_overlap_programs","analysis/wgcna/score_module_activity.R",173,"results/tables/06_modules_WGCNA/curated_overlap_programs/global/curated_overlap_programs.xlsx","global artifact, resolved for every dataset (neuron_neuropil by default; neuron_soma/microglia via the line 885 comparison path)","LIVE_READER","expected_path of resolve_input_path(input_name = ""overlap_module_definitions"") - the primary module-definition input when module_definition_source == ""overlap"", required = TRUE (line 178)"
"curated_overlap_programs","analysis/wgcna/score_module_activity.R",175,"results/tables/06_modules_WGCNA/curated_overlap_programs/global/Overlap_based_neuropil_modules_classified.xlsx","global","LIVE_READER","fallback_paths for the same resolve_input_path call: the producer's alias filename for the identical object (written at build_curated_overlap_programs.R:373, byte-identical to the canonical name today, both 165444 bytes / Jun 22 17:04)"
"curated_overlap_programs","analysis/wgcna/score_module_activity.R",176,"newest-mtime recursive match for ^curated_overlap_programs\.xlsx$|^Overlap_based_neuropil_modules_classified\.xlsx$ under results/tables/06_modules_WGCNA","global intent, but the search root is the entire historical WGCNA stage tree including 01_WGCNA/microglia_failed_20260720_133211","LIVE_READER","latest_roots + latest_pattern (lines 176-177) feed latest_input_candidate(), which lists recursively (R/paths.R:388-390) and returns the newest file by mtime (R/paths.R:393) with only a warning (R/paths.R:472-482)"
"curated_overlap_programs","analysis/wgcna/score_module_activity.R",271,"results/tables/06_modules_WGCNA/curated_overlap_programs/global/curated_overlap_programs.xlsx","global","LIVE_READER","dry-run preflight: producer_artifact is set to the historical path in the non-wgcna branch and probed with file.exists() for the ""Producer artifact exists"" diagnostic (line 273)"
"curated_overlap_programs","analysis/wgcna/score_module_activity.R",646,"curated_overlap_programs.xlsx, sheet ""Modules_long""","global","LIVE_READER","the actual ingestion of the path resolved at line 173 - readxl::read_excel(module_definitions_file, sheet = module_definitions_sheet), where module_definitions_sheet is ""Modules_long"" for the overlap source (line 227); validated by validate_curated_overlap_programs() at line 653"
"curated_overlap_programs","analysis/wgcna/score_module_activity.R",885,"results/tables/06_modules_WGCNA/curated_overlap_programs/global/curated_overlap_programs.xlsx","global artifact read while the script runs for neuron_soma or microglia (default source ""wgcna"", line 57)","LIVE_READER","second, explicit resolve_module_definitions_file(""overlap"") call inside if (module_definition_source == ""wgcna""), so the curated programs are pulled in as the comparison set for WGCNA-module-vs-overlap-program Fisher/Jaccard cross-tabulation"
