"consumer","artifact_family","owner_analysis_id","normalized_consume","historical_consume","runtime_helper","normalized_producer_exists","policy"
"analysis/integration/export_module_protein_zoom_source_data.R","01b_module_supermodule_GO_heatmaps","render_module_go_heatmaps","results/wgcna/render_module_go_heatmaps/neuron_neuropil/tables/WGCNA_module_GO_heatmap_source_BP.csv","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps/neuron_neuropil/WGCNA_module_GO_heatmap_source_BP.csv","wgcna_go_heatmap_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/export_module_protein_zoom_source_data.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/neuron_neuropil/tables/source_data/module_group_effects_main_heatmap_source.csv","results/source_data/06_modules_WGCNA/interpretable_summary/neuron_neuropil/module_group_effects_main_heatmap_source.csv","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/quantify_candidate_network_position.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/WGCNA_modules_long.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/WGCNA_modules_long.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/summarize_enrichment_module_concordance.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/WGCNA_feature_universe.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/WGCNA_feature_universe.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/summarize_enrichment_module_concordance.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/WGCNA_module_GO_enrichment_long.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/WGCNA_module_GO_enrichment_long.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/summarize_enrichment_module_concordance.R","group_effects","test_module_phenotypes","results/wgcna/test_module_phenotypes/<dataset>/tables/WGCNA_group_effect_sensitivity.csv","results/tables/06_modules_WGCNA/group_effects/<dataset>/WGCNA_group_effect_sensitivity.csv","wgcna_group_effects_artifact; wgcna_group_effects_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/summarize_enrichment_module_concordance.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_inferential_handoff.csv","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_inferential_handoff.csv","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/summarize_enrichment_module_concordance.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_final_label_lookup.csv","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_final_label_lookup.csv","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/summarize_enrichment_module_concordance.R","module_annotation","annotate_module_microenvironment","results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_module_biological_annotation.csv","results/tables/06_modules_WGCNA/module_annotation/<dataset>/WGCNA_module_biological_annotation.csv","wgcna_annotation_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/summarize_enrichment_module_concordance.R","module_annotation","annotate_module_microenvironment","results/wgcna/annotate_module_microenvironment/<dataset>/tables/WGCNA_supermodule_biological_annotation.csv","results/tables/06_modules_WGCNA/module_annotation/<dataset>/WGCNA_supermodule_biological_annotation.csv","wgcna_annotation_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/summarize_module_cross_compartment.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/","results/tables/06_modules_WGCNA/01_WGCNA/","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/summarize_module_cross_compartment.R","module_annotation","annotate_module_microenvironment","results/wgcna/annotate_module_microenvironment/<dataset>/tables/","results/tables/06_modules_WGCNA/module_annotation/","wgcna_annotation_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/test_enrichment_module_concordance.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/WGCNA_feature_universe.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/WGCNA_feature_universe.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/test_enrichment_module_concordance.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/WGCNA_module_preservation_summary.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/WGCNA_module_preservation_summary.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/test_enrichment_module_concordance.R","claim_readiness","audit_module_claim_readiness","results/wgcna/audit_module_claim_readiness/microglia/tables/WGCNA_entity_claim_readiness.csv","results/tables/06_modules_WGCNA/claim_readiness/microglia/WGCNA_entity_claim_readiness.csv","wgcna_claim_readiness_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/test_enrichment_module_concordance.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_inferential_handoff.csv","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_inferential_handoff.csv","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/integration/test_module_behaviour_coupling.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_inferential_handoff.csv","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_inferential_handoff.csv","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/publication_source_data/build_biological_claims_table.R","claim_readiness","audit_module_claim_readiness","results/wgcna/audit_module_claim_readiness/microglia/tables/WGCNA_entity_claim_readiness.csv","results/tables/06_modules_WGCNA/claim_readiness/microglia/WGCNA_entity_claim_readiness.csv","wgcna_claim_readiness_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/publication_source_data/build_biological_claims_table.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/<dataset>/tables/","results/tables/06_modules_WGCNA/interpretable_summary/","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/publication_source_data/build_biological_claims_table.R","results/tables/06_modules_WGCNA/",NA,NA,"results/tables/06_modules_WGCNA/",NA,FALSE,"HISTORICAL_ONLY_BROAD_ROOT_NO_OWNER_SPECIFIC_NORMALIZED_EQUIVALENT"
"analysis/qc/summarize_marker_detectability.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/models/wgcna_final_model_state.rds","data/processed/06_modules_WGCNA/01_WGCNA/<dataset>/wgcna_final_model_state.rds","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/qc/summarize_marker_detectability.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/spatial_networks/build_spatial_networks.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/annotate_module_microenvironment.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/annotate_module_microenvironment.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_module_supermodule_annotation.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_module_supermodule_annotation.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/annotate_module_microenvironment.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_summary.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_supermodule_summary.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/audit_microglia_module_claims.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/microglia/models/wgcna_final_model_state.rds","data/processed/06_modules_WGCNA/01_WGCNA/microglia/wgcna_final_model_state.rds","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/audit_microglia_module_claims.R","group_effects","test_module_phenotypes","results/wgcna/test_module_phenotypes/microglia/tables/","results/tables/06_modules_WGCNA/group_effects/microglia/","wgcna_group_effects_artifact; wgcna_group_effects_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/audit_microglia_module_claims.R","microglia_neuropil_independence","test_microglia_neuropil_independence","results/wgcna/test_microglia_neuropil_independence/microglia/tables/","results/tables/06_modules_WGCNA/microglia_neuropil_independence/microglia/","wgcna_independence_artifact; wgcna_independence_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/audit_microglia_module_claims.R","module_robustness_sensitivity","audit_module_robustness","results/wgcna/audit_module_robustness/microglia/tables/","results/tables/06_modules_WGCNA/module_robustness_sensitivity/microglia/","wgcna_robustness_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/audit_module_robustness.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/WGCNA_module_preservation_summary.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/WGCNA_module_preservation_summary.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/audit_module_robustness.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/<dataset>/tables/WGCNA_inferential_handoff.csv","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/WGCNA_inferential_handoff.csv","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/models/wgcna_final_model_state.rds","data/processed/06_modules_WGCNA/01_WGCNA/<dataset>/wgcna_final_model_state.rds","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/WGCNA_module_definitions_for_downstream.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/WGCNA_module_definitions_for_downstream.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_module_supermodule_annotation.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_module_supermodule_annotation.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_summary.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_supermodule_summary.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_supermodule_eigengene_clusters.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_supermodule_eigengene_clusters.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/supermodule_clustering_sensitivity.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/supermodule_clustering_sensitivity.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/manifests/run_manifest.yml","results/logs/06_modules_WGCNA/01_WGCNA/<dataset>/run_manifest.yml","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/manifests/wgcna_run_manifest.yml","results/logs/06_modules_WGCNA/01_WGCNA/<dataset>/wgcna_run_manifest.yml","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/manifests/output_manifest.csv","results/logs/06_modules_WGCNA/01_WGCNA/<dataset>/output_manifest.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/WGCNA_parameter_audit.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/WGCNA_parameter_audit.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","claim_readiness","audit_module_claim_readiness","results/wgcna/audit_module_claim_readiness/<dataset>/tables/","results/tables/06_modules_WGCNA/claim_readiness/<dataset>/","wgcna_claim_readiness_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","group_effects","test_module_phenotypes","results/wgcna/test_module_phenotypes/<dataset>/tables/","results/tables/06_modules_WGCNA/group_effects/<dataset>/","wgcna_group_effects_artifact; wgcna_group_effects_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/<dataset>/tables/","results/tables/06_modules_WGCNA/interpretable_summary/<dataset>/","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","module_annotation","annotate_module_microenvironment","results/wgcna/annotate_module_microenvironment/<dataset>/tables/","results/tables/06_modules_WGCNA/module_annotation/<dataset>/","wgcna_annotation_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/build_module_identity_contract.R","score_publication_summary","summarize_module_scores","results/wgcna/summarize_module_scores/<dataset>/tables/","results/tables/06_modules_WGCNA/score_publication_summary/<dataset>/","wgcna_score_summary_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/compare_module_enrichment_overlap.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/render_module_figures.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/microglia/tables/supermodules/wgcna_module_supermodule_annotation.csv","results/tables/06_modules_WGCNA/01_WGCNA/microglia/supermodules/wgcna_module_supermodule_annotation.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/render_module_figures.R","group_effects","test_module_phenotypes","results/wgcna/test_module_phenotypes/microglia/tables/all_supermodule_eigengene_group_values.csv","results/tables/06_modules_WGCNA/group_effects/microglia/all_supermodule_eigengene_group_values.csv","wgcna_group_effects_artifact; wgcna_group_effects_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/render_module_figures.R","group_effects","test_module_phenotypes","results/wgcna/test_module_phenotypes/microglia/tables/supermodule_pca_member_loadings.csv","results/tables/06_modules_WGCNA/group_effects/microglia/supermodule_pca_member_loadings.csv","wgcna_group_effects_artifact; wgcna_group_effects_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/render_module_figures.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/microglia/tables/WGCNA_final_label_lookup.csv","results/tables/06_modules_WGCNA/interpretable_summary/microglia/WGCNA_final_label_lookup.csv","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/render_module_figures.R","interpretable_summary","summarize_module_interpretation","results/wgcna/summarize_module_interpretation/microglia/tables/WGCNA_inferential_handoff.csv","results/tables/06_modules_WGCNA/interpretable_summary/microglia/WGCNA_inferential_handoff.csv","wgcna_interpretable_artifact",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/render_module_go_heatmaps.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/WGCNA_module_GO_enrichment_long.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/WGCNA_module_GO_enrichment_long.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/render_module_go_heatmaps.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/module_name_map.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/module_name_map.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/render_module_go_heatmaps.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/score_module_activity.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/score_module_activity.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_module_supermodule_annotation.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_module_supermodule_annotation.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/score_module_activity.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/score_module_activity.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/supermodules/wgcna_module_supermodule_annotation.csv","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/supermodules/wgcna_module_supermodule_annotation.csv","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
"analysis/wgcna/summarize_module_complex_architecture.R","01_WGCNA","build_wgcna_modules","results/wgcna/build_wgcna_modules/<dataset>/tables/modules/","results/tables/06_modules_WGCNA/01_WGCNA/<dataset>/modules/","wgcna_final_state; wgcna_modules_artifact; wgcna_modules_dir; wgcna_modules_scope_dir; wgcna_supermodules_dir",TRUE,"NORMALIZED_FIRST_HISTORICAL_FALLBACK"
