"old_path","expected_path","intended_extension","producer","write_site","evidence","current_hash","bytes","collision","export_effect","action"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#41AB5D_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#41AB5D_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","672adb43dc2209f39a2e6d93078c2883d2b11c5f3788eee97bae5ab7b44f0a0c",7472,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#4D4D4D_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#4D4D4D_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","1c17687bf0b8c2b3656765aaa2423d2e7a8f2de071fa97d1622d55d6a18601e3",7464,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#737373_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#737373_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","7ad4c6b02791622e39205abf814c5bbadc843dd71b838470bb9cce6014a3c4ac",7691,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#7F2704_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#7F2704_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","bf22a038f631da0677c6495de5a0766b83971604f9e33f7645e22dbcdcbafeda",8225,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#8C510A_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#8C510A_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","8234bf574aecabfda414c49017d7732670bf91817d68db4935e71d33bb2354e5",7762,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#969696_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#969696_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","90e709832028522e7a1eff5cc1ee115588d04b63feefbcc7c3fd3a5380fd8a04",7774,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#9E9AC8_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#9E9AC8_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","f5b367a95e23935c941daaaa69a784173f3a472d9cb87dae3f2e989e8e86880f",7764,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#A6611A_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA1_WGCNA_#A6611A_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","ac9485ca45119e5eef1849a2045241400b61a3563ba3768f46b70b11103846bd",7354,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#006D2C_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#006D2C_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","9e84fccac69ed1fa49709c3e67bb555e5324fb641546e4531e7ae871e69f537c",7754,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#08519C_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#08519C_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","5ac35a1bf007f7215a49152f3757c3984dc998e874a077669bc7fb4fc365a956",8051,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#1F4E79_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#1F4E79_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","997dda9e7cbd6293c8b4fb9cdab062e268b38bdc04008318d14e3872df64a6f3",7762,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#2B8CBE_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#2B8CBE_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","6859929de37b8611a4452f6029c7fa0f31b833ed636bc7b5fb33bc3fbe0ce1a2",8041,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#3F007D_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#3F007D_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","0b5163000df0bc0df7b1a98a07803c51cf63f4f10871a5aff82cf075e695baa4",7747,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#41AB5D_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#41AB5D_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","929855ccb8ed4950f7b995d74e941b6a21dc08edbb582760b5551a1c75fea3da",7633,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#4D4D4D_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#4D4D4D_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","7709ff0f36533dd518987e901f1419e267f7285c681a3874d4b9575680e114d9",7212,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#737373_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#737373_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","28e20cda86233ecee586487d6a1961e924a8a7e10f31c8b7801ccce56ffe4de4",6996,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#7F2704_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#7F2704_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","7747b7d68360523dd7496f522c17f9285b35ac3a01d803661ae31e97780e7e57",7480,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#8C510A_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#8C510A_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","f38f4c78995cb782651f2aa036baafa32c238fb4673f492df4e77088558ff1d9",7751,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#969696_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#969696_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","f16a96e5e7cef79252ed55b391f3fd8bd240186de3d8036b9d3e9d26d22be4b2",7922,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#9E9AC8_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#9E9AC8_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","16c4b457ca90ce4dd54f57a761b210352cba5b0374372ddeb305412a937b9718",7567,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#A6611A_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA2_WGCNA_#A6611A_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","e3700074998743a0b0533ac4c0732c19ab318eb3947825ddfbbd2a7f106e313f",7933,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#006D2C_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#006D2C_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","f22d42cd758afcb85d7b8c3022739bdcfc686c428a6f61f6d01e3bff366035bb",7928,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#08519C_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#08519C_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","60624d2b65e00008f23b11990d30aec552643e1b4737a8aae445c6d3a445dcaa",7637,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#1F4E79_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#1F4E79_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","913d76d7b283345c9ba9414ef904a88722edffeb3b3d7a5a1a8caec4d73f1ead",7657,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#2B8CBE_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#2B8CBE_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","03e2fb4f1dd4202d7534fdb57b7924cb9efc4639ea2c0b9f56ffecc97c11f172",7518,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#3F007D_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#3F007D_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","6005c4bdb2b7f7c79226456f872fbfebe8834ab779ed69843ece4f59d43eb860",7516,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#41AB5D_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#41AB5D_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","351b6a7fdd5b9651351fb63fcc63b93bf13a2c410dd4ac980fbdb605f4a4d6b3",7649,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#4D4D4D_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#4D4D4D_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","0a6623199cfd868323e0c19b5ecc129f72ce3fac1d4974e97617545e16aae856",7344,FALSE,"becomes discoverable","rename_in_place"
"results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#737373_sensitivity_flagged_replicates_remove","results/figures/06_modules_WGCNA/module_score/microglia/wgcna/module_group_scores/sensitivity_flagged_replicates_removed/module_score_CA3_WGCNA_#737373_sensitivity_flagged_replicates_re.svg",".svg","analysis/wgcna/score_module_activity.R","score_module_activity.R:3343/3357","template module_score_<rl>_<mod>_<analysis_label>.svg; unique prefix match against vocabulary harvested from well-formed siblings; content signature = svg, within the writer's emitted formats (svg)","cbc1a5bba1286624a1f2f7afe5af5bc90e8d7bf6f450a76121223755237b3284",7981,FALSE,"becomes discoverable","rename_in_place"
