"file","line_start","line_end","artifact_family","historical_root","historical_artifact","construction_type","single_or_multiline","intended_helper","canonical_owner","child","kind","disposition","text"
"analysis/spatial_validation/quantify_bilateral_spatial_identity.R",179,180,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","p <- path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_modules_long.csv"")"
"analysis/wgcna/adjudicate_module_labels.R",63,63,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","membership_path <- function(ds) path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_modules_long.csv"")"
"analysis/wgcna/adjudicate_module_labels.R",64,64,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_GO_enrichment_long.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","go_path <- function(ds) path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_module_GO_enrichment_long.csv"")"
"analysis/wgcna/adjudicate_module_labels.R",66,66,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","wgcna_supermodule_biological_coherence.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","structural_path <- function(ds) path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""supermodules"", ""wgcna_supermodule_biological_coherence.csv"")"
"analysis/wgcna/audit_module_label_coherence.R",67,68,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_modules_long.csv"")"
"analysis/wgcna/audit_module_label_coherence.R",71,72,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_GO_enrichment_long.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_GO_enrichment_long.csv"")"
"analysis/wgcna/audit_module_label_coherence.R",81,82,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","wgcna_supermodule_biological_coherence.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""supermodules"", ""wgcna_supermodule_biological_coherence.csv"")"
"analysis/wgcna/audit_module_robustness.R",131,131,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_preservation_summary.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","preservation = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ds, ""modules"", ""WGCNA_module_preservation_summary.csv""),"
"analysis/wgcna/build_wgcna_modules.R",84,84,"01_WGCNA","data/processed/06_modules_WGCNA/01_WGCNA","wgcna_expression.xlsx","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","models","processed","CONVERTED_TO_OWNER_HELPER","expr_xlsx_early <- if (nzchar(expr_xlsx_env_early)) expr_xlsx_env_early else path_processed(""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile_early, ""inputs"", ""wgcna_expression.xlsx"")"
"analysis/wgcna/build_wgcna_modules.R",85,85,"01_WGCNA","data/processed/06_modules_WGCNA/01_WGCNA","wgcna_sample_info.xlsx","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","models","processed","CONVERTED_TO_OWNER_HELPER","meta_xlsx_early <- if (nzchar(meta_xlsx_env_early)) meta_xlsx_env_early else path_processed(""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile_early, ""inputs"", ""wgcna_sample_info.xlsx"")"
"analysis/wgcna/compare_module_enrichment_overlap.R",132,132,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","wgcna_modules_dir <- path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"")"
"analysis/wgcna/render_module_go_heatmaps.R",50,50,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","MODULES_DIR <- path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", DATASET, ""modules"")"
"analysis/wgcna/render_module_go_heatmaps.R",51,51,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","SUPERMODULES_DIR <- path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", DATASET, ""supermodules"")"
"analysis/wgcna/score_module_activity.R",140,140,"01_WGCNA","data/processed/06_modules_WGCNA/01_WGCNA","wgcna_final_model_state.rds","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","models","processed","CONVERTED_TO_OWNER_HELPER","expected_path = path_processed(""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile, ""wgcna_final_model_state.rds""),"
"analysis/wgcna/score_module_activity.R",142,142,"01_WGCNA","results/source_data/06_modules_WGCNA/01_WGCNA","wgcna_final_model_state.rds","SOURCE_DATA_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","source_data","CONVERTED_TO_OWNER_HELPER","fallback_paths = path_results(""source_data"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile, ""wgcna_final_model_state.rds""),"
"analysis/wgcna/score_module_activity.R",155,155,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","wgcna_module_supermodule_annotation.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","expected_path = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile, ""supermodules"", ""wgcna_module_supermodule_annotation.csv""),"
"analysis/wgcna/score_module_activity.R",157,157,"01_WGCNA","results/source_data/06_modules_WGCNA/01_WGCNA","wgcna_module_supermodule_annotation.csv","SOURCE_DATA_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","source_data","CONVERTED_TO_OWNER_HELPER","fallback_paths = path_results(""source_data"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile, ""supermodules"", ""wgcna_module_supermodule_annotation.csv""),"
"analysis/wgcna/score_module_activity.R",189,189,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_definitions_for_downstream.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","expected_path = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile, ""modules"", ""WGCNA_module_definitions_for_downstream.csv""),"
"analysis/wgcna/score_module_activity.R",192,192,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.xlsx","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile, ""modules"", ""WGCNA_modules_long.xlsx""),"
"analysis/wgcna/score_module_activity.R",193,193,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.xlsx","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ""modules"", ""WGCNA_modules_long.xlsx""),"
"analysis/wgcna/score_module_activity.R",194,194,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_modules_long.xlsx","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", ""WGCNA_modules_long.xlsx"")"
"analysis/wgcna/score_module_activity.R",196,196,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","latest_roots = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile),"
"analysis/wgcna/score_module_activity.R",269,269,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_definitions_for_downstream.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset_profile, ""modules"", ""WGCNA_module_definitions_for_downstream.csv"")"
"R/statistics/wgcna_downstream_utils.R",886,886,"01_WGCNA","data/processed/06_modules_WGCNA/01_WGCNA","wgcna_final_model_state.rds","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","models","processed","CONVERTED_TO_OWNER_HELPER","state = path_processed(""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""wgcna_final_model_state.rds""),"
"R/statistics/wgcna_downstream_utils.R",887,887,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_definitions_for_downstream.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","definitions = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_definitions_for_downstream.csv""),"
"R/statistics/wgcna_downstream_utils.R",888,888,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_summary.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","module_summary = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_summary.csv""),"
"R/statistics/wgcna_downstream_utils.R",889,889,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","WGCNA_module_GO_enrichment_long.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","go = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""modules"", ""WGCNA_module_GO_enrichment_long.csv""),"
"R/statistics/wgcna_downstream_utils.R",890,890,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","wgcna_module_supermodule_annotation.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","supermodule_annotation = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""supermodules"", ""wgcna_module_supermodule_annotation.csv""),"
"R/statistics/wgcna_downstream_utils.R",891,891,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","wgcna_supermodule_summary.csv","EXACT_ARTIFACT_PATH","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","supermodule_summary = path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""supermodules"", ""wgcna_supermodule_summary.csv""),"
"R/statistics/wgcna_identity_contract_utils.R",105,105,"01_WGCNA","results/tables/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","tables","tables","CONVERTED_TO_OWNER_HELPER","stage01_tables <- path_results(""tables"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset)"
"R/statistics/wgcna_identity_contract_utils.R",106,106,"01_WGCNA","results/logs/06_modules_WGCNA/01_WGCNA","","CHILD_PATH_CONSTRUCTION","single","wgcna_modules_artifact","build_wgcna_modules","manifests","logs","CONVERTED_TO_OWNER_HELPER","stage01_logs <- path_results(""logs"", ""06_modules_WGCNA"", ""01_WGCNA"", dataset)"
"R/statistics/wgcna_identity_contract_utils.R",108,110,"01_WGCNA","data/processed/06_modules_WGCNA/01_WGCNA","wgcna_final_model_state.rds","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_modules_artifact","build_wgcna_modules","models","processed","CONVERTED_TO_OWNER_HELPER","frozen_state = path_processed( ""06_modules_WGCNA"", ""01_WGCNA"", dataset, ""wgcna_final_model_state.rds"" ),"
"analysis/integration/export_module_protein_zoom_source_data.R",45,48,"01b_module_supermodule_GO_heatmaps","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps","WGCNA_module_GO_heatmap_source_BP.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_go_heatmap_artifact","render_module_go_heatmaps","tables","tables","CONVERTED_TO_OWNER_HELPER","module_go = path_results( ""tables"", ""06_modules_WGCNA"", ""01b_module_supermodule_GO_heatmaps"", dataset, ""WGCNA_module_GO_heatmap_source_BP.csv"" )"
"analysis/integration/export_module_protein_zoom_source_data.R",466,466,"01b_module_supermodule_GO_heatmaps","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps","WGCNA_module_GO_heatmap_source_BP.csv","EXACT_ARTIFACT_PATH","single","wgcna_go_heatmap_artifact","render_module_go_heatmaps","tables","tables","CONVERTED_TO_OWNER_HELPER","go_path <- path_results(""tables"", ""06_modules_WGCNA"", ""01b_module_supermodule_GO_heatmaps"", dataset, ""WGCNA_module_GO_heatmap_source_BP.csv"")"
"analysis/integration/export_module_protein_zoom_source_data.R",514,514,"01b_module_supermodule_GO_heatmaps","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps","WGCNA_supermodule_GO_focused_source_BP.csv","EXACT_ARTIFACT_PATH","single","wgcna_go_heatmap_artifact","render_module_go_heatmaps","tables","tables","CONVERTED_TO_OWNER_HELPER","focused_go_path <- path_results(""tables"", ""06_modules_WGCNA"", ""01b_module_supermodule_GO_heatmaps"", dataset, ""WGCNA_supermodule_GO_focused_source_BP.csv"")"
"analysis/wgcna/render_module_go_heatmaps.R",60,63,"01b_module_supermodule_GO_heatmaps","results/tables/06_modules_WGCNA/01b_module_supermodule_GO_heatmaps",".csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_go_heatmap_artifact","render_module_go_heatmaps","tables","tables","CONVERTED_TO_OWNER_HELPER","path_results( ""tables"", ""06_modules_WGCNA"", ""01b_module_supermodule_GO_heatmaps"", dataset, paste0(stem, ""_"", ontology, "".csv"") )"
"analysis/integration/test_enrichment_module_concordance.R",89,92,"04_wgcna_de_gsea_overlap","results/tables/06_modules_WGCNA/04_wgcna_de_gsea_overlap","WGCNA_vs_DE_GSEA_overlap.csv","EXACT_ARTIFACT_PATH|MULTILINE","multiline","wgcna_gsea_overlap_artifact","compare_module_enrichment_overlap","tables","tables","CONVERTED_TO_OWNER_HELPER","legacy_overlap = path_results( ""tables"", ""06_modules_WGCNA"", ""04_wgcna_de_gsea_overlap"", ""microglia"", ""WGCNA_vs_DE_GSEA_overlap.csv"" )"
