"old_path","new_path","role","rename_class","reason","byte_identical","git_similarity_after_repointing","references_to_new_name","stale_references_to_old_name"
"analysis/02_qc/01_sample_qc_quicksearch.r","analysis/02_qc/assess_sample_quality.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",6,0
"analysis/02_qc/04b_import_reference_marker_sources.r","analysis/02_qc/build_reference_marker_registry.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",70,0
"analysis/02_qc/05_empirical_roi_marker_discovery.r","analysis/02_qc/discover_empirical_roi_markers.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",9,0
"analysis/02_qc/07_wgcna_marker_trait_export.r","analysis/02_qc/export_marker_traits.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",8,0
"analysis/02_qc/06_variance_partitioning.r","analysis/02_qc/partition_variance.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",5,0
"analysis/02_qc/04e_control_compartment_abundance_publication_figures.r","analysis/02_qc/render_compartment_abundance_figures.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"not detected as rename",8,0
"analysis/02_qc/00c_joint_compartment_qc_publication_figures.r","analysis/02_qc/render_joint_compartment_qc_figures.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R096",9,0
"analysis/02_qc/04c_marker_detectability_and_wgcna_bridge.r","analysis/02_qc/summarize_marker_detectability.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",6,0
"analysis/02_qc/02_missingness_diagnostics.r","analysis/02_qc/summarize_missingness.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",5,0
"analysis/02_qc/08_qc_biology_confounding_report.r","analysis/02_qc/summarize_qc_confounding.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",4,0
"analysis/03_spatial_validation/05_wgcna_module_celltype_annotation.R","analysis/03_spatial_validation/annotate_module_celltypes.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R089",8,0
"analysis/03_spatial_validation/16_ca2_slm_robustness_audit.R","analysis/03_spatial_validation/audit_ca2_slm_robustness.R","AUDIT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R093",10,0
"analysis/03_spatial_validation/17_stress_identity_robustness.R","analysis/03_spatial_validation/audit_stress_identity_robustness.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R091",12,0
"analysis/03_spatial_validation/13_animal_spatial_networks.R","analysis/03_spatial_validation/build_animal_spatial_networks.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R094",7,0
"analysis/03_spatial_validation/08_module_spatial_cell_atlas.R","analysis/03_spatial_validation/build_module_spatial_atlas.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R095",7,0
"analysis/03_spatial_validation/09_protein_spatial_cell_atlas.R","analysis/03_spatial_validation/build_protein_spatial_atlas.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R092",10,0
"analysis/03_spatial_validation/01_spatial_systems_data_contract.R","analysis/03_spatial_validation/build_spatial_data_contract.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R092",6,0
"analysis/03_spatial_validation/06_bilateral_variance_decomposition.R","analysis/03_spatial_validation/decompose_bilateral_variance.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R087",6,0
"analysis/03_spatial_validation/02_bilateral_spatial_identity.R","analysis/03_spatial_validation/quantify_bilateral_spatial_identity.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R090",7,0
"analysis/03_spatial_validation/03_bilateral_empirical_compartment.R","analysis/03_spatial_validation/quantify_empirical_compartments.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R091",7,0
"analysis/03_spatial_validation/04_wgcna_module_bilateral.R","analysis/03_spatial_validation/quantify_module_bilateral_identity.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R088",7,0
"analysis/03_spatial_validation/10_neuropil_spatial_detection_context.R","analysis/03_spatial_validation/quantify_neuropil_detection_context.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R091",6,0
"analysis/03_spatial_validation/12_neuropil_spatial_precision_context.R","analysis/03_spatial_validation/quantify_neuropil_precision.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R095",5,0
"analysis/03_spatial_validation/18_ca2_slm_robustness_workbook.R","analysis/03_spatial_validation/summarize_ca2_slm_robustness.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R094",8,0
"analysis/03_spatial_validation/11_spatial_systems_atlas_workbook.R","analysis/03_spatial_validation/summarize_spatial_atlas.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R094",7,0
"analysis/03_spatial_validation/14_network_group_organization.R","analysis/03_spatial_validation/test_network_group_organization.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R094",8,0
"analysis/03_spatial_validation/15_network_legacy_workbook_validation.R","analysis/03_spatial_validation/validate_network_workbook.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R095",7,0
"analysis/03_spatial_validation/07_spatial_systems_foundation_validation.R","analysis/03_spatial_validation/validate_spatial_foundations.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R092",5,0
"analysis/04_differential_abundance/04_neuropil_reference_annotation.r","analysis/04_differential_abundance/annotate_neuropil_reference.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",8,0
"analysis/04_differential_abundance/01b_gsea_protein_direction_audit.r","analysis/04_differential_abundance/audit_gsea_protein_direction.R","AUDIT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",9,0
"analysis/04_differential_abundance/11_stress_response_biological_audit.r","analysis/04_differential_abundance/audit_stress_response_biology.R","AUDIT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R096",9,0
"analysis/04_differential_abundance/07_compareGO_spatial_program_atlas.r","analysis/04_differential_abundance/build_go_program_atlas.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",11,0
"analysis/04_differential_abundance/10_sus_res_spatial_dap_atlas.r","analysis/04_differential_abundance/build_sus_res_dap_atlas.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R096",12,0
"analysis/04_differential_abundance/08_external_stress_disease_signature_overlap.r","analysis/04_differential_abundance/compare_external_stress_signatures.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R095",8,0
"analysis/04_differential_abundance/02_compareGO.r","analysis/04_differential_abundance/compare_go_enrichment.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",10,0
"analysis/04_differential_abundance/01_clusterProfiler.r","analysis/04_differential_abundance/run_clusterprofiler_enrichment.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",14,0
"analysis/04_differential_abundance/06_biological_program_summary.r","analysis/04_differential_abundance/summarize_biological_programs.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",10,0
"analysis/04_differential_abundance/05_microglia_targeted_signature_enrichment.r","analysis/04_differential_abundance/test_microglia_targeted_signatures.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",8,0
"analysis/04_differential_abundance/09_control_spatial_identity_validation.r","analysis/04_differential_abundance/validate_control_spatial_identity.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",11,0
"analysis/05_wgcna/15_wgcna_label_adjudication.R","analysis/05_wgcna/adjudicate_module_labels.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R094",18,0
"analysis/05_wgcna/06_annotate_module_microenvironment.r","analysis/05_wgcna/annotate_module_microenvironment.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",22,0
"analysis/05_wgcna/12_microglia_wgcna_nature_readiness_audit.R","analysis/05_wgcna/audit_microglia_module_claims.R","AUDIT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",13,0
"analysis/05_wgcna/13_wgcna_claim_readiness.R","analysis/05_wgcna/audit_module_claim_readiness.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",10,0
"analysis/05_wgcna/14_wgcna_label_coherence_audit.R","analysis/05_wgcna/audit_module_label_coherence.R","AUDIT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R094",12,0
"analysis/05_wgcna/11_module_robustness_sensitivity.r","analysis/05_wgcna/audit_module_robustness.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",10,0
"analysis/05_wgcna/02_curated_overlap_programs.r","analysis/05_wgcna/build_curated_overlap_programs.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",8,0
"analysis/05_wgcna/00_wgcna_identity_contract.R","analysis/05_wgcna/build_module_identity_contract.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R088",12,0
"analysis/05_wgcna/16_wgcna_label_approval_table.R","analysis/05_wgcna/build_module_label_registry.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R094",13,0
"analysis/05_wgcna/06_module_spatial_networks.r","analysis/05_wgcna/build_module_spatial_networks.R","SUPPORT_SCRIPT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",4,0
"analysis/05_wgcna/01_WGCNA.r","analysis/05_wgcna/build_wgcna_modules.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",33,NA
"analysis/05_wgcna/04_wgcna_de_gsea_overlap.r","analysis/05_wgcna/compare_module_enrichment_overlap.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",13,0
"analysis/05_wgcna/01a_compare_GO_recurrent_proteins.r","analysis/05_wgcna/compare_recurrent_module_proteins.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",5,0
"analysis/05_wgcna/09b_microglia_neuropil_independence_figures.R","analysis/05_wgcna/render_microglia_independence_figures.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",6,0
"analysis/05_wgcna/08b_microglia_wgcna_readiness_publication_figures.R","analysis/05_wgcna/render_microglia_module_figures.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R095",9,0
"analysis/05_wgcna/08_wgcna_publication_figures.R","analysis/05_wgcna/render_module_figures.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",13,0
"analysis/05_wgcna/01b_module_supermodule_GO_heatmaps.R","analysis/05_wgcna/render_module_go_heatmaps.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",9,0
"analysis/05_wgcna/03_score_module_activity.R","analysis/05_wgcna/score_module_activity.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",28,0
"analysis/05_wgcna/12b_finalize_microglia_wgcna_nature_readiness_audit.R","analysis/05_wgcna/summarize_microglia_module_claims.R","AUDIT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R092",5,0
"analysis/05_wgcna/09c_microglia_roi_specificity_diagnostics.R","analysis/05_wgcna/summarize_microglia_roi_specificity.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",8,0
"analysis/05_wgcna/10_module_complex_architecture.r","analysis/05_wgcna/summarize_module_complex_architecture.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R092",9,0
"analysis/05_wgcna/07_wgcna_interpretable_summary.r","analysis/05_wgcna/summarize_module_interpretation.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",22,0
"analysis/05_wgcna/08_wgcna_score_publication_summary.R","analysis/05_wgcna/summarize_module_scores.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",12,0
"analysis/05_wgcna/09_microglia_neuropil_independence.R","analysis/05_wgcna/test_microglia_neuropil_independence.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",17,0
"analysis/05_wgcna/05_module_supermodule_group_effects.r","analysis/05_wgcna/test_module_phenotypes.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R092",31,0
"analysis/06_gsea/01_EWCE_E9.r","analysis/06_gsea/run_ewce_celltype_enrichment.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",14,0
"analysis/07_spatial_networks/02_differential_networks.r","analysis/07_spatial_networks/build_differential_networks.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",6,0
"analysis/07_spatial_networks/01_network_spatial_relations.r","analysis/07_spatial_networks/build_spatial_networks.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",12,0
"analysis/07_spatial_networks/05_bootstrap_differential_network_figures.r","analysis/07_spatial_networks/render_differential_network_figures.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",6,0
"analysis/07_spatial_networks/06_chord_diagram.r","analysis/07_spatial_networks/render_network_chord_diagram.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",6,0
"analysis/07_spatial_networks/04_bootstrap_differential_network_stability.r","analysis/07_spatial_networks/test_differential_network_stability.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",6,0
"analysis/07_spatial_networks/03_bootstrap_network_stability.r","analysis/07_spatial_networks/test_network_stability.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",6,0
"analysis/08_integration/04_animal_id_integrity_audit.R","analysis/08_integration/audit_animal_id_integrity.R","AUDIT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R091",6,0
"analysis/08_integration/08_wgcna_candidate_protein_shortlist.R","analysis/08_integration/build_candidate_protein_shortlist.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",21,0
"analysis/08_integration/01_cross_compartment_program_atlas.r","analysis/08_integration/build_cross_compartment_atlas.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",11,0
"analysis/08_integration/03_evidence_priority_matrix.r","analysis/08_integration/build_evidence_priority_matrix.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R096",13,0
"analysis/08_integration/10_prepare_immunostaining_candidate_comparison.R","analysis/08_integration/build_immunostaining_candidates.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",3,0
"analysis/08_integration/05_manuscript_figure3_wgcna_protein_zoom.R","analysis/08_integration/export_module_protein_zoom_source_data.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R096",13,0
"analysis/08_integration/09_wgcna_sus_res_network_position.R","analysis/08_integration/quantify_candidate_network_position.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R093",16,0
"analysis/08_integration/04_wgcna_circular_atlas.R","analysis/08_integration/render_module_circular_atlas.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",15,0
"analysis/08_integration/11_screen_immunostaining_candidate_panel.R","analysis/08_integration/screen_immunostaining_panel.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",3,0
"analysis/08_integration/12_screen_immunostaining_separation_candidates.R","analysis/08_integration/screen_immunostaining_separation.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",3,0
"analysis/08_integration/06_gsea_wgcna_concordance_diagnostics.R","analysis/08_integration/summarize_enrichment_module_concordance.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",11,0
"analysis/08_integration/04_wgcna_cross_compartment_overview.R","analysis/08_integration/summarize_module_cross_compartment.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",10,0
"analysis/08_integration/02_manuscript_program_summary.r","analysis/08_integration/summarize_programs_for_manuscript.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",10,0
"analysis/08_integration/01_correlate_proteomics_with_behavior.r","analysis/08_integration/test_behaviour_proteomics_associations.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",8,0
"analysis/08_integration/05_gsea_wgcna_concordance.R","analysis/08_integration/test_enrichment_module_concordance.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",11,0
"analysis/08_integration/03_module_behavior_coupling.r","analysis/08_integration/test_module_behaviour_coupling.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R095",11,0
"analysis/08_integration/02_network_behavior_coupling.r","analysis/08_integration/test_network_behaviour_coupling.R","ANALYSIS_ENTRYPOINT","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",15,0
"analysis/09_publication_exports/07_make_biological_claims_table.R","analysis/09_publication_exports/build_biological_claims_table.R","SOURCE_DATA_EXPORTER","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R098",18,0
"analysis/09_publication_exports/06_make_methods_summary.R","analysis/09_publication_exports/build_methods_summary.R","SOURCE_DATA_EXPORTER","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",4,0
"analysis/09_publication_exports/05_make_pride_manifest.R","analysis/09_publication_exports/build_pride_manifest.R","SOURCE_DATA_EXPORTER","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R095",8,0
"analysis/09_publication_exports/02_make_sample_metadata.R","analysis/09_publication_exports/build_sample_metadata.R","SOURCE_DATA_EXPORTER","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R096",6,0
"analysis/09_publication_exports/04_make_supplementary_tables.R","analysis/09_publication_exports/build_supplementary_tables.R","SOURCE_DATA_EXPORTER","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",8,0
"analysis/09_publication_exports/03_export_processed_pg_matrix_package.R","analysis/09_publication_exports/export_processed_matrices.R","SOURCE_DATA_EXPORTER","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R095",7,0
"analysis/09_publication_exports/10_validate_pride_submission.R","analysis/09_publication_exports/validate_pride_submission.R","SOURCE_DATA_EXPORTER","HISTORICAL_PREFIX_REMOVED_VERB_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",6,0
"R/qc/control_compartment_abundance_workflow_v2.R","R/qc/control_compartment_abundance_workflow.R","REUSABLE_LIBRARY","CAPABILITY_BASED_LIBRARY_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R099",2,0
"R/statistics/final_evidence_bundle_utils.R","R/statistics/evidence_bundle_utils.R","REUSABLE_LIBRARY","CAPABILITY_BASED_LIBRARY_NAME","verb-based operation name; numeric prefix dropped",TRUE,"R097",3,0
