"artifact","owner_script","owner_analysis_id","source","normalized_child","physical_class","frozen_state_role","lifecycle_root","work_eligible","work_gate_reason"
"results/wgcna/summarize_module_scores/<dataset>/plots/publication_supermodule_effect_heatmap_<dataset>_wgcna_primary_all_replicates.svg|results/wgcna/summarize_module_scores/<dataset>/plots/publication_supermodule_effect_heatmap_<dataset>_wgcna_sensitivity.svg|results/wgcna/summarize_module_scores/<dataset>/plots/publication_supermodule_correlation_<dataset>_wgcna_primary_all_replicates.svg|results/wgcna/summarize_module_scores/<dataset>/plots/publication_supermodule_correlation_<dataset>_wgcna_sensitivity.svg|results/wgcna/summarize_module_scores/<dataset>/plots/publication_supermodule_consistency_<dataset>_wgcna_primary_all_replicates.svg|results/wgcna/summarize_module_scores/<dataset>/plots/publication_supermodule_consistency_<dataset>_wgcna_sensitivity.svg|results/wgcna/summarize_module_scores/<dataset>/tables/WGCNA_score_publication_validation.csv","analysis/wgcna/summarize_module_scores.R","summarize_module_scores","pipeline.yml produces","plots","PLOT","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/render_microglia_module_figures/microglia/plots/corrected_all_supermodule_architecture.svg|results/wgcna/render_microglia_module_figures/microglia/plots/corrected_all_supermodule_architecture.pdf|results/wgcna/render_microglia_module_figures/microglia/plots/corrected_all_supermodule_global_eigengenes.svg|results/wgcna/render_microglia_module_figures/microglia/plots/corrected_all_supermodule_global_eigengenes.pdf|results/wgcna/render_microglia_module_figures/microglia/plots/corrected_all_supermodule_sus_res_forest.svg|results/wgcna/render_microglia_module_figures/microglia/plots/corrected_all_supermodule_sus_res_forest.pdf|results/wgcna/render_microglia_module_figures/microglia/plots/corrected_all_supermodule_sus_res_spatial_heatmap.svg|results/wgcna/render_microglia_module_figures/microglia/plots/corrected_all_supermodule_sus_res_spatial_heatmap.pdf|results/wgcna/render_microglia_module_figures/microglia/plots/corrected_multi_supermodule_member_loadings.svg|results/wgcna/render_microglia_module_figures/microglia/plots/corrected_multi_supermodule_member_loadings.pdf|results/wgcna/render_microglia_module_figures/microglia/plots/corrected_supplementary_all_contrast_effect_matrix.svg|results/wgcna/render_microglia_module_figures/microglia/plots/corrected_supplementary_all_contrast_effect_matrix.pdf|results/wgcna/render_microglia_module_figures/microglia/plots/wgcna_readiness_summary.svg|results/wgcna/render_microglia_module_figures/microglia/plots/wgcna_readiness_summary.pdf|results/wgcna/render_microglia_module_figures/microglia/tables/source_data/corrected_all_supermodule_architecture_source.csv|results/wgcna/render_microglia_module_figures/microglia/tables/source_data/corrected_all_supermodule_global_eigengenes_source.csv|results/wgcna/render_microglia_module_figures/microglia/tables/source_data/corrected_all_supermodule_sus_res_forest_source.csv|results/wgcna/render_microglia_module_figures/microglia/tables/source_data/corrected_all_supermodule_sus_res_spatial_heatmap_source.csv|results/wgcna/render_microglia_module_figures/microglia/tables/source_data/corrected_multi_supermodule_member_loadings_source.csv|results/wgcna/render_microglia_module_figures/microglia/tables/source_data/corrected_supplementary_all_contrast_effect_matrix_source.csv|results/wgcna/render_microglia_module_figures/microglia/tables/source_data/wgcna_readiness_summary_source.csv|results/wgcna/render_microglia_module_figures/microglia/tables/supermodule_group_effects_standardized.csv|results/wgcna/render_microglia_module_figures/microglia/tables/WGCNA_corrected_publication_figure_validation.csv|results/wgcna/render_microglia_module_figures/microglia/manifests/run_manifest.yml","analysis/wgcna/render_microglia_module_figures.R","render_microglia_module_figures","pipeline.yml produces","plots","PLOT","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/test_microglia_neuropil_independence/microglia/tables/microglia_neuropil_independence_effects.csv|results/wgcna/test_microglia_neuropil_independence/microglia/tables/microglia_module_neuropil_independence_classification.csv|results/wgcna/test_microglia_neuropil_independence/microglia/tables/WGCNA_module_inferential_handoff_with_neuropil_independence.csv|results/wgcna/test_microglia_neuropil_independence/global/tables/microglia_neuropil_independence_claim_gate.csv|results/wgcna/test_microglia_neuropil_independence/global/tables/microglia_neuropil_covariate_selection_audit.csv","analysis/wgcna/test_microglia_neuropil_independence.R","test_microglia_neuropil_independence","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/render_microglia_independence_figures/microglia/plots|results/wgcna/render_microglia_independence_figures/microglia/tables/source_data","analysis/wgcna/render_microglia_independence_figures.R","render_microglia_independence_figures","pipeline.yml produces","plots|results","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/summarize_microglia_roi_specificity/microglia/tables|results/wgcna/summarize_microglia_roi_specificity/microglia/tables/source_data|results/wgcna/summarize_microglia_roi_specificity/microglia/plots|results/wgcna/summarize_microglia_roi_specificity/microglia/reports|results/wgcna/summarize_microglia_roi_specificity/microglia/plots/microglia_roi_specificity_decision_map.svg|results/wgcna/summarize_microglia_roi_specificity/microglia/plots/microglia_roi_specificity_decision_map.pdf","analysis/wgcna/summarize_microglia_roi_specificity.R","summarize_microglia_roi_specificity","pipeline.yml produces","tables|results","PLOT","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/summarize_module_complex_architecture/<dataset>/tables/module_complex_architecture.csv|results/wgcna/summarize_module_complex_architecture/<dataset>/tables/source_data/module_complex_architecture.csv|results/wgcna/summarize_module_complex_architecture/<dataset>/manifests/run_manifest.yml","analysis/wgcna/summarize_module_complex_architecture.R","summarize_module_complex_architecture","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/audit_module_robustness/<dataset>/tables/module_robustness_sensitivity.csv|results/wgcna/audit_module_robustness/<dataset>/tables/source_data/module_robustness_sensitivity.csv|results/wgcna/audit_module_robustness/<dataset>/manifests/run_manifest.yml","analysis/wgcna/audit_module_robustness.R","audit_module_robustness","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/audit_microglia_module_claims/global/reports/WGCNA_nature_readiness_report.md|results/wgcna/audit_microglia_module_claims/global/tables/module_robustness_consensus.csv|results/wgcna/audit_microglia_module_claims/global/tables/higher_order_block_readiness_summary.csv","analysis/wgcna/audit_microglia_module_claims.R","audit_microglia_module_claims","pipeline.yml produces","reports","REPORT","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/summarize_microglia_module_claims/global/tables/finalization_validation.csv","analysis/wgcna/summarize_microglia_module_claims.R","summarize_microglia_module_claims","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/audit_module_claim_readiness/microglia/tables/WGCNA_entity_claim_readiness.csv|results/wgcna/audit_module_claim_readiness/microglia/tables/source_data/WGCNA_entity_claim_readiness_source.csv","analysis/wgcna/audit_module_claim_readiness.R","audit_module_claim_readiness","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/audit_module_label_coherence/<dataset>/tables/WGCNA_module_label_coherence_audit.csv|results/wgcna/audit_module_label_coherence/<dataset>/tables/WGCNA_supermodule_label_coherence_audit.csv|results/wgcna/audit_module_label_coherence/<dataset>/tables/WGCNA_label_supporting_proteins.csv|results/wgcna/audit_module_label_coherence/<dataset>/tables/WGCNA_label_review.xlsx|results/wgcna/audit_module_label_coherence/<dataset>/tables/PROPOSED_wgcna_reviewed_labels_<dataset>.csv","analysis/wgcna/audit_module_label_coherence.R","audit_module_label_coherence","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/adjudicate_module_labels/global/tables/WGCNA_module_adjudication.csv|results/wgcna/adjudicate_module_labels/global/tables/WGCNA_supermodule_adjudication.csv|results/wgcna/adjudicate_module_labels/global/tables/WGCNA_module_theme_evidence.csv|results/wgcna/adjudicate_module_labels/global/tables/WGCNA_module_top25_hubs.csv|results/wgcna/adjudicate_module_labels/global/tables/WGCNA_label_consumer_migration_plan.csv|results/wgcna/adjudicate_module_labels/global/tables/WGCNA_label_adjudication.xlsx|results/wgcna/adjudicate_module_labels/global/tables/proposed_<dataset>_reviewed_labels.csv","analysis/wgcna/adjudicate_module_labels.R","adjudicate_module_labels","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"results/wgcna/build_module_label_registry/global/tables/WGCNA_final_label_approval_table.csv|results/wgcna/build_module_label_registry/global/tables/WGCNA_canonical_display_label_resolution.csv|results/wgcna/build_module_label_registry/global/tables/WGCNA_label_activation_rules.csv|results/wgcna/build_module_label_registry/global/tables/WGCNA_ambiguous_module_comparison.csv|results/wgcna/build_module_label_registry/global/tables/WGCNA_final_label_approval.xlsx","analysis/wgcna/build_module_label_registry.R","build_module_label_registry","pipeline.yml produces","tables","TABLE","NOT_STATE","results/",FALSE,"declared canonical output of a registered writer; has scientific and/or publication consumers"
"data/processed/06_modules_WGCNA/01_WGCNA/neuron_neuropil/wgcna_final_model_state.rds","analysis/wgcna/build_wgcna_modules.R","build_wgcna_modules","state carrier (historical location)","models","MODEL_PERSISTENT_OBJECT","CANONICAL_FROZEN_STATE","results/ (currently data/processed)",FALSE,"frozen network state; every module identity claim depends on it"
"data/processed/06_modules_WGCNA/01_WGCNA/neuron_soma/wgcna_final_model_state.rds","analysis/wgcna/build_wgcna_modules.R","build_wgcna_modules","state carrier (historical location)","models","MODEL_PERSISTENT_OBJECT","CANONICAL_FROZEN_STATE","results/ (currently data/processed)",FALSE,"frozen network state; every module identity claim depends on it"
"data/processed/06_modules_WGCNA/01_WGCNA/microglia/wgcna_final_model_state.rds","analysis/wgcna/build_wgcna_modules.R","build_wgcna_modules","state carrier (historical location)","models","MODEL_PERSISTENT_OBJECT","CANONICAL_FROZEN_STATE","results/ (currently data/processed)",FALSE,"frozen network state; every module identity claim depends on it"
"data/processed/06_modules_WGCNA/01_WGCNA/microglia_failed_20260720_133211/wgcna_final_model_state.rds","analysis/wgcna/build_wgcna_modules.R","build_wgcna_modules","state carrier (failed run)","models","MODEL_PERSISTENT_OBJECT","FAILED_RUN_PROVENANCE","results/ (retained in place)",FALSE,"provenance of a failed run: never resolver-eligible, never publication-eligible, retained for auditability"
"results/reviewer_audit/gsea_wgcna_concordance_correction_20260813/","various WGCNA reviewer audits",NA,"reviewer_audit tree",NA,"REPORT","NOT_STATE","results/",FALSE,"reviewer-facing audit evidence (20 files); cited, not regenerable on demand"
"results/reviewer_audit/microglia_wgcna_nature_readiness/","various WGCNA reviewer audits",NA,"reviewer_audit tree",NA,"REPORT","NOT_STATE","results/",FALSE,"reviewer-facing audit evidence (62 files); cited, not regenerable on demand"
"results/reviewer_audit/microglia_wgcna_readiness_handoff_20260722_095624/","various WGCNA reviewer audits",NA,"reviewer_audit tree",NA,"REPORT","NOT_STATE","results/",FALSE,"reviewer-facing audit evidence (4 files); cited, not regenerable on demand"
"results/reviewer_audit/microglia_wgcna_readiness_handoff_20260722_100135/","various WGCNA reviewer audits",NA,"reviewer_audit tree",NA,"REPORT","NOT_STATE","results/",FALSE,"reviewer-facing audit evidence (24 files); cited, not regenerable on demand"
"results/reviewer_audit/stage13_group_effect_consistency_check/","various WGCNA reviewer audits",NA,"reviewer_audit tree",NA,"REPORT","NOT_STATE","results/",FALSE,"reviewer-facing audit evidence (10 files); cited, not regenerable on demand"
"results/reviewer_audit/wgcna_label_adjudication/","various WGCNA reviewer audits",NA,"reviewer_audit tree",NA,"REPORT","NOT_STATE","results/",FALSE,"reviewer-facing audit evidence (12 files); cited, not regenerable on demand"
"results/reviewer_audit/wgcna_label_approval/","various WGCNA reviewer audits",NA,"reviewer_audit tree",NA,"REPORT","NOT_STATE","results/",FALSE,"reviewer-facing audit evidence (5 files); cited, not regenerable on demand"
"results/reviewer_audit/wgcna_label_review/","various WGCNA reviewer audits",NA,"reviewer_audit tree",NA,"REPORT","NOT_STATE","results/",FALSE,"reviewer-facing audit evidence (15 files); cited, not regenerable on demand"
"results/reviewer_audit/input_resolution_audit.csv","R/paths.R append_input_resolution_audit()",NA,"runtime provenance log",NA,"MANIFEST","NOT_STATE","results/",FALSE,"append-only runtime provenance; not regenerable, not scientific payload"
"config/results_ownership.csv","tools/ generators",NA,"generated contract",NA,"GENERATED_CONFIG_CONTRACT","NOT_STATE","config/",FALSE,"contract surface consumed by gates and tests"
"config/output_layout.yml","tools/ generators",NA,"generated contract",NA,"GENERATED_CONFIG_CONTRACT","NOT_STATE","config/",FALSE,"contract surface consumed by gates and tests"
"config/output_namespaces.yml","tools/ generators",NA,"generated contract",NA,"GENERATED_CONFIG_CONTRACT","NOT_STATE","config/",FALSE,"contract surface consumed by gates and tests"
