"consumer_file","disposition","rationale","also_calls_resolver"
"tests/testthat/test-wgcna-label-adjudication.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-network-position-and-label-coherence.R","REPOINTED","Present in both inventories.",FALSE
"tests/testthat/test-wgcna-stage13-downstream-integration.R","REPOINTED","Present in both inventories.",FALSE
"tools/audit_wgcna_support_status.R","REPOINTED","Present in both inventories.",FALSE
"tools/export_publication_source_data.R","REPOINTED","Present in both inventories.",FALSE
"tools/generate_architecture_docs.R","REPOINTED","Present in both inventories.",FALSE
"tools/migrate_publication_export_bundle.R","REPOINTED","Present in both inventories.",FALSE
"tools/normalize_script_headers.R","REPOINTED","Present in both inventories.",FALSE
"analysis/integration/audit_animal_id_integrity.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/build_candidate_protein_shortlist.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/build_cross_compartment_atlas.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/build_evidence_priority_matrix.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/build_immunostaining_candidates.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/export_module_protein_zoom_source_data.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/quantify_candidate_network_position.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/render_module_circular_atlas.R","RESOLVER_DELEGATED","Still a consumer. It reads through integration_find()/ integration_dirs(), so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/integration/screen_immunostaining_panel.R","RESOLVER_DELEGATED","Still a consumer. It reads through integration_find()/ integration_dirs(), so it contains no namespace token and a token search cannot see it.",TRUE
"analysis/integration/screen_immunostaining_separation.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/summarize_enrichment_module_concordance.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/summarize_module_cross_compartment.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/summarize_programs_for_manuscript.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/test_behaviour_proteomics_associations.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/test_module_behaviour_coupling.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"analysis/integration/test_network_behaviour_coupling.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
"R/statistics/integration_utils.R","RESOLVER_DELEGATED","Present in both inventories.",TRUE
