source_system,raw_id,canonical_AnimalID,evidence,status
behavior_zscore,0003,3,"ID column of E9_Behavior_Data.xlsx sheet zScore; zero-padded animal number; unique numeric suffix across all 117 behaviour ids",active
behavior_zscore,OR111,111,"ID column of E9_Behavior_Data.xlsx sheet zScore; OR = cohort prefix, 111 = animal number; unique numeric suffix across all 117 behaviour ids",active
behavior_zscore,OR127,127,"ID column of E9_Behavior_Data.xlsx sheet zScore; OR = cohort prefix, 127 = animal number; unique numeric suffix across all 117 behaviour ids",active
behavior_zscore,OR129,129,"ID column of E9_Behavior_Data.xlsx sheet zScore; OR = cohort prefix, 129 = animal number; unique numeric suffix across all 117 behaviour ids",active
behavior_zscore,OR135,135,"ID column of E9_Behavior_Data.xlsx sheet zScore; OR = cohort prefix, 135 = animal number; unique numeric suffix across all 117 behaviour ids",active
behavior_zscore,OR139,139,"ID column of E9_Behavior_Data.xlsx sheet zScore; OR = cohort prefix, 139 = animal number; unique numeric suffix across all 117 behaviour ids",active
behavior_zscore,OQ755,755,"ID column of E9_Behavior_Data.xlsx sheet zScore; OQ = cohort prefix, 755 = animal number; unique numeric suffix across all 117 behaviour ids",active
behavior_zscore,OQ764,764,"ID column of E9_Behavior_Data.xlsx sheet zScore; OQ = cohort prefix, 764 = animal number; unique numeric suffix across all 117 behaviour ids",active
behavior_zscore,OQ765,765,"ID column of E9_Behavior_Data.xlsx sheet zScore; OQ = cohort prefix, 765 = animal number; unique numeric suffix across all 117 behaviour ids",active
movement_auc,3,3,"AnimalNum column of auc_individual_animals_*.csv; bare animal number; the historical normaliser mapped this to NA because it required at least three digits",active
movement_auc,OR111,111,"AnimalNum column of auc_individual_animals_*.csv; OR = cohort prefix, 111 = animal number; unique numeric suffix across all 111 movement ids",active
movement_auc,OR127,127,"AnimalNum column of auc_individual_animals_*.csv; OR = cohort prefix, 127 = animal number; unique numeric suffix across all 111 movement ids",active
movement_auc,OR129,129,"AnimalNum column of auc_individual_animals_*.csv; OR = cohort prefix, 129 = animal number; unique numeric suffix across all 111 movement ids",active
movement_auc,OR135,135,"AnimalNum column of auc_individual_animals_*.csv; OR = cohort prefix, 135 = animal number; unique numeric suffix across all 111 movement ids",active
movement_auc,OR139,139,"AnimalNum column of auc_individual_animals_*.csv; OR = cohort prefix, 139 = animal number; unique numeric suffix across all 111 movement ids",active
movement_auc,OQ755,755,"AnimalNum column of auc_individual_animals_*.csv; OQ = cohort prefix, 755 = animal number; unique numeric suffix across all 111 movement ids",active
movement_auc,OQ764,764,"AnimalNum column of auc_individual_animals_*.csv; OQ = cohort prefix, 764 = animal number; unique numeric suffix across all 111 movement ids",active
movement_auc,OQ765,765,"AnimalNum column of auc_individual_animals_*.csv; OQ = cohort prefix, 765 = animal number; unique numeric suffix across all 111 movement ids",active
